MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
VerceM_2019__ERS1807706__bin.3	VerceM_2019	ERS1807706	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2875854.0	126.0	33616.0	98.20652174	0.09057971	0.463296815
VerceM_2019__ERS1807709__bin.1	VerceM_2019	ERS1807709	assigned	SGB69410	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_sp_UCMA15818	1982258.0	475.0	4970.0	59.63949843	1.724137931	0.356850622
VerceM_2019__ERS1807708__bin.8	VerceM_2019	ERS1807708	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2861733.0	122.0	40717.0	97.22826087	0.0	0.462993578
VerceM_2019__ERS1807706__bin.9	VerceM_2019	ERS1807706	assigned	SGB27673	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus_sicerae	796333.0	51.0	21277.0	67.55793226	0.0	0.402163417
VerceM_2019__ERS1807706__bin.10	VerceM_2019	ERS1807706	assigned	SGB69410	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_sp_UCMA15818	1756499.0	262.0	8801.0	78.03664921	2.38979902	0.366741456
VerceM_2019__ERS1807708__bin.9	VerceM_2019	ERS1807708	assigned	SGB17230	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_aquikefiri	2203917.0	58.0	58223.0	97.27272727	2.96969697	0.520908909
VerceM_2019__ERS1807707__bin.4	VerceM_2019	ERS1807707	assigned	SGB17230	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_aquikefiri	2210469.0	78.0	46745.0	98.37121212	2.96969697	0.521603334
VerceM_2019__ERS1807709__bin.8	VerceM_2019	ERS1807709	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2737655.0	187.0	19784.0	98.76150975	0.27173913	0.465283975
VerceM_2019__ERS1807707__bin.8	VerceM_2019	ERS1807707	assigned	SGB27673	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus_sicerae	898283.0	154.0	7035.0	65.82030413	0.980392157	0.404043047
VerceM_2019__ERS1807707__bin.5	VerceM_2019	ERS1807707	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2812806.0	231.0	17344.0	97.16833891	0.543478261	0.463453932
VerceM_2019__ERS1807709__bin.2	VerceM_2019	ERS1807709	assigned	SGB27673	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus_sicerae	1113031.0	143.0	9611.0	76.27508481	1.515151515	0.403985154
VerceM_2019__ERS1807707__bin.2	VerceM_2019	ERS1807707	assigned	SGB7216	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3031422.0	245.0	17583.0	96.61458333	1.145833333	0.399120941
VerceM_2019__ERS1807708__bin.1	VerceM_2019	ERS1807708	assigned	SGB7063	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	2079797.0	113.0	31679.0	94.93891798	0.523560209	0.367154102
VerceM_2019__ERS1807708__bin.4	VerceM_2019	ERS1807708	assigned	SGB27673	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus_sicerae	1077155.0	46.0	39783.0	81.39037433	0.0	0.404455255
VerceM_2019__ERS1807709__bin.4	VerceM_2019	ERS1807709	assigned	SGB7063	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	2012448.0	380.0	7076.0	84.92629324	2.966841187	0.36770888
VerceM_2019__ERS1807707__bin.11	VerceM_2019	ERS1807707	assigned	SGB69410	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_sp_UCMA15818	1460201.0	265.0	6957.0	70.5679835	0.523560209	0.365840045
VerceM_2019__ERS1807707__bin.6	VerceM_2019	ERS1807707	assigned	SGB16053	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	2404621.0	810.0	3105.0	52.3699422	0.096339114	0.732666811
