MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
FranciosaI_2021__SRR12227952__bin.10	FranciosaI_2021	SRR12227952	SGB_assigned	0.022565587804878	SGB7168	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1712631	257	9119	85.14	0.7	0.42
FranciosaI_2021__SRR12227952__bin.4	FranciosaI_2021	SRR12227952	SGB_assigned	0.0192233	SGB7201	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_paraplantarum	3026836	167	26778	89.95	0.97	0.44
FranciosaI_2021__SRR12227952__bin.5	FranciosaI_2021	SRR12227952	SGB_assigned	0.0256208058823529	SGB7169	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1210850	14	105549	74.84	3.07	0.37
FranciosaI_2021__SRR12227952__bin.9	FranciosaI_2021	SRR12227952	SGB_assigned	0.0167790848979591	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1557713	117	16598	85.11	0.16	0.42
FranciosaI_2021__SRR12227953__bin.2	FranciosaI_2021	SRR12227953	SGB_assigned	0.0248452307471264	SGB7126	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1298831	345	4261	73.44	1.29	0.38
FranciosaI_2021__SRR12227953__bin.6	FranciosaI_2021	SRR12227953	SGB_assigned	0.0231014682926829	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1347020	117	20037	75.61	0.28	0.41
FranciosaI_2021__SRR12227955__bin.3	FranciosaI_2021	SRR12227955	SGB_assigned	0.0149805652380952	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1527323	87	25018	86.64	0.51	0.42
FranciosaI_2021__SRR12227956__bin.1	FranciosaI_2021	SRR12227956	SGB_assigned	0.0196872721138211	SGB7168	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1742093	137	20223	91.29	1.29	0.42
FranciosaI_2021__SRR12227956__bin.2	FranciosaI_2021	SRR12227956	SGB_assigned	0.0190636925170068	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1578239	187	11666	82.35	3.97	0.42
FranciosaI_2021__SRR12227956__bin.3	FranciosaI_2021	SRR12227956	SGB_assigned	0.0243469703529411	SGB7169	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1376577	37	75329	81.42	0.26	0.37
FranciosaI_2021__SRR12227957__bin.4	FranciosaI_2021	SRR12227957	SGB_assigned	0.0313966333333333	SGB64255	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_SGB64255	891918	18	82993	59.23	0.02	0.37
FranciosaI_2021__SRR12227957__bin.6	FranciosaI_2021	SRR12227957	SGB_assigned	0.0078016533333333	SGB7129	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	1553709	185	11766	94.7	0.86	0.37
FranciosaI_2021__SRR12227958__bin.1	FranciosaI_2021	SRR12227958	SGB_assigned	0.01309811	SGB29554	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_mishanensis	2336607	174	19935	95.65	2.41	0.37
FranciosaI_2021__SRR12227958__bin.9	FranciosaI_2021	SRR12227958	SGB_assigned	0.0146675895918367	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1631363	117	19318	89.16	2.33	0.42
FranciosaI_2021__SRR12227959__bin.1	FranciosaI_2021	SRR12227959	SGB_assigned	0.0344620729411764	SGB7169	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1100725	352	3315	65.92	2.5	0.38
FranciosaI_2021__SRR12227959__bin.2	FranciosaI_2021	SRR12227959	SGB_assigned	0.0190771882926829	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1725174	187	16381	92.45	0.44	0.41
FranciosaI_2021__SRR12227960__bin.1	FranciosaI_2021	SRR12227960	SGB_assigned	0.0205803081632653	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1359212	286	5872	69.79	1.41	0.42
FranciosaI_2021__SRR12227960__bin.7	FranciosaI_2021	SRR12227960	SGB_assigned	0.019849144308943	SGB7168	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1693722	145	15857	89.18	0.09	0.43
FranciosaI_2021__SRR12227960__bin.8	FranciosaI_2021	SRR12227960	SGB_assigned	0.0199151921951219	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1764268	251	9540	84.14	4.11	0.41
FranciosaI_2021__SRR12227961__bin.2	FranciosaI_2021	SRR12227961	SGB_assigned	0.0289623333333333	SGB64255	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_SGB64255	819054	36	46185	54.35	0.03	0.37
FranciosaI_2021__SRR12227962__bin.2	FranciosaI_2021	SRR12227962	SGB_assigned	0.0156691396598639	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1626797	108	22115	86.1	0.97	0.42
FranciosaI_2021__SRR12227962__bin.3	FranciosaI_2021	SRR12227962	SGB_assigned	0.0430502406504065	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	972081	52	25250	52.79	1.14	0.41
FranciosaI_2021__SRR12227963__bin.1	FranciosaI_2021	SRR12227963	SGB_assigned	0.0196726163414634	SGB7168	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1817732	119	24841	94.97	1.46	0.42
FranciosaI_2021__SRR12227963__bin.4	FranciosaI_2021	SRR12227963	SGB_assigned	0.0220294649411764	SGB7169	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1355221	28	144588	84.91	0.19	0.37
FranciosaI_2021__SRR12227963__bin.8	FranciosaI_2021	SRR12227963	SGB_assigned	0.0244639040650406	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1363631	189	10261	65.28	3.31	0.41
FranciosaI_2021__SRR12227964__bin.4	FranciosaI_2021	SRR12227964	SGB_assigned	0.0161729897435897	SGB7129	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	1103108	305	4241	66.09	0.14	0.37
FranciosaI_2021__SRR12227964__bin.6	FranciosaI_2021	SRR12227964	SGB_assigned	0.0278755333333333	SGB64255	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_SGB64255	789785	16	82174	51.8	0.09	0.37
FranciosaI_2021__SRR12227965__bin.3	FranciosaI_2021	SRR12227965	SGB_assigned	0.0314868529411764	SGB7169	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	939882	36	40017	60.8	0.16	0.37
FranciosaI_2021__SRR12227966__bin.6	FranciosaI_2021	SRR12227966	SGB_assigned	0.0154974527891156	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1485678	92	22542	85.85	0.54	0.42
