MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
PatroJN_2016__SRS1044731__bin.12	PatroJN_2016	SRS1044731	assigned	SGB17278	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_animalis	1165657.0	14.0	127532.0	71.87301587	0.0	0.603064195
PatroJN_2016__SRS1044731__bin.15	PatroJN_2016	SRS1044731	assigned	SGB7143	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_casei	1384210.0	78.0	24011.0	59.16293661	0.0	0.483476496
PatroJN_2016__SRS1044731__bin.4	PatroJN_2016	SRS1044731	assigned	SGB7044	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acidophilus	1046116.0	11.0	264606.0	53.44827586	0.0	0.34157971
PatroJN_2016__SRS1044731__bin.7	PatroJN_2016	SRS1044731	assigned	SGB7082	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_salivarius	1601266.0	49.0	49594.0	94.37172775	0.0	0.32345032
PatroJN_2016__SRS1044731__bin.9	PatroJN_2016	SRS1044731	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	3036071.0	43.0	120937.0	98.7654321	2.777777778	0.447441117
PatroJN_2016__SRS1044732__bin.3	PatroJN_2016	SRS1044732	assigned	SGB17256	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum	2041555.0	63.0	46856.0	96.88940092	0.768049155	0.629843918
PatroJN_2016__SRS1044732__bin.6	PatroJN_2016	SRS1044732	assigned	SGB17248	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum	908178.0	27.0	46878.0	50.86206897	0.0	0.602308138
PatroJN_2016__SRS1044732__bin.8	PatroJN_2016	SRS1044732	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	3020346.0	50.0	90938.0	99.07407407	3.703703704	0.447926165
PatroJN_2016__SRS1044735__bin.1	PatroJN_2016	SRS1044735	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2422904.0	102.0	34683.0	77.43653086	0.543478261	0.463717506
PatroJN_2016__SRS1044735__bin.10	PatroJN_2016	SRS1044735	assigned	SGB7038	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_paragasseri	1782026.0	124.0	20939.0	88.73966688	2.364341085	0.34591639
