MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
EscobarZepedaA_2016__SRS974112__bin.30	EscobarZepedaA_2016	SRS974112	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2006407	147	18731	96.5625	0.208333333	0.464518914
EscobarZepedaA_2016__SRS974112__bin.19	EscobarZepedaA_2016	SRS974112	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2084222	157	21317	94.57070707	0.883838384	0.352742654
EscobarZepedaA_2016__SRS974112__bin.1	EscobarZepedaA_2016	SRS974112	SGB7202	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2350224	296	9649	93.36419753	2.263374486	0.452093503
EscobarZepedaA_2016__SRS974112__bin.32	EscobarZepedaA_2016	SRS974112	SGB7980	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_petauri	2027651	66	114226	94.84732824	0.381679389	0.380111765
EscobarZepedaA_2016__SRS974112__bin.34	EscobarZepedaA_2016	SRS974112	SGB33632	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_crudilactis	2061067	246	10890	93.76010101	2.121212121	0.581402739
EscobarZepedaA_2016__SRS974112__bin.14	EscobarZepedaA_2016	SRS974112	SGB7973	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_italicus	1758240	163	17047	91.3405579	0.883002208	0.400916257
EscobarZepedaA_2016__SRS974112__bin.21	EscobarZepedaA_2016	SRS974112	SGB29877	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Bavariicoccus	Bavariicoccus_seileri	1455478	140	17391	89.3442623	0.182149362	0.387898683
EscobarZepedaA_2016__SRS974112__bin.18	EscobarZepedaA_2016	SRS974112	SGB7201	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_paraplantarum	2277595	221	14576	56.37931034	0.862068966	0.439613715
EscobarZepedaA_2016__SRS974112__bin.26	EscobarZepedaA_2016	SRS974112	SGB17127	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_casei	2621314	113	36063	97.13656388	0.220264317	0.557072903
EscobarZepedaA_2016__SRS974112__bin.12	EscobarZepedaA_2016	SRS974112	SGB16673	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia_kristinae	2035591	480	5158	84.60264901	4.370860927	0.721322702
EscobarZepedaA_2016__SRS974112__bin.25	EscobarZepedaA_2016	SRS974112	SGB7967	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2244200	205	16303	94.41121985	0.343320849	0.382716335
EscobarZepedaA_2016__SRS974112__bin.15	EscobarZepedaA_2016	SRS974112	SGB16957	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium_acidipropionici	3177727	361	12763	99.23245614	0.0	0.690487572
EscobarZepedaA_2016__SRS974112__bin.3	EscobarZepedaA_2016	SRS974112	SGB7059	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_acidipiscis	1842374	216	12586	94.5026178	1.383694839	0.392249891
EscobarZepedaA_2016__SRS974112__bin.31	EscobarZepedaA_2016	SRS974112	SGB16634	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_linens	3374206	501	9954	96.65697674	1.744186047	0.655250154
EscobarZepedaA_2016__SRS974112__bin.10	EscobarZepedaA_2016	SRS974112	SGB7897	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus_urinaeequi	1632439	132	19840	89.28571429	1.373626374	0.398749969
EscobarZepedaA_2016__SRS974112__bin.17	EscobarZepedaA_2016	SRS974112	SGB23979	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Ancrocorticia	Ancrocorticia_populi	1841788	332	6502	83.98359344	0.140056022	0.594716113
EscobarZepedaA_2016__SRS974112__bin.20	EscobarZepedaA_2016	SRS974112	SGB29906	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus_piezotolerans	2003582	110	26126	96.72131148	0.746224808	0.393666443
EscobarZepedaA_2016__SRS974112__bin.23	EscobarZepedaA_2016	SRS974112	SGB70630	uSGB	Other	Bacteria	Firmicutes	CFGB37462	OFGB37462	FGB37462	GGB50521	GGB50521_SGB70630	2433101	158	24394	96.85863874	0.785340314	0.357406043
