dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DasM_2024	DasM_2024__SRR29845380__bin.23	SRR29845380	assigned	SGB7428	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_taichungensis	6426630.0	84.0	110372.0	99.96	0.09	0.47
DasM_2024	DasM_2024__SRR29845384__bin.8	SRR29845384	assigned	SGB7428	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_taichungensis	4779296.0	1083.0	4946.0	72.76	0.37	0.47
DasM_2024	DasM_2024__SRR29988523__bin.12	SRR29988523	assigned	SGB7428	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_taichungensis	6475760.0	565.0	16712.0	97.71	2.9	0.47
DasM_2024	DasM_2024__SRR29845385__bin.7	SRR29845385	assigned	SGB7428	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_taichungensis	6598032.0	358.0	27256.0	99.96	1.82	0.46
DasM_2024	DasM_2024__SRR29988523__bin.24	SRR29988523	assigned	SGB7494	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus_capsici	3576563.0	415.0	12894.0	82.71	2.42	0.38
DasM_2024	DasM_2024__SRR29845383__bin.20	SRR29845383	assigned	SGB7494	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus_capsici	4424073.0	502.0	13177.0	93.08	4.04	0.38
DasM_2024	DasM_2024__SRR29845382__bin.5	SRR29845382	assigned	SGB7494	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus_capsici	4309306.0	441.0	15264.0	99.19	2.56	0.38
DasM_2024	DasM_2024__SRR29845380__bin.20	SRR29845380	assigned	SGB7692	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_luti	3806944.0	501.0	9852.0	76.96	1.73	0.35
DasM_2024	DasM_2024__SRR29845383__bin.14	SRR29845383	assigned	SGB7728	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus_thermoamylovorans	3356488.0	324.0	15513.0	99.81	0.5	0.38
DasM_2024	DasM_2024__SRR29845384__bin.31	SRR29845384	assigned	SGB7728	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus_thermoamylovorans	3414460.0	242.0	22178.0	99.99	0.0	0.38
DasM_2024	DasM_2024__SRR29845382__bin.16	SRR29845382	assigned	SGB7770	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_altitudinis	3423910.0	581.0	7288.0	88.43	1.6	0.41
DasM_2024	DasM_2024__SRR29845383__bin.23	SRR29845383	assigned	SGB7788	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_subtilis	3442124.0	437.0	11516.0	89.06	1.08	0.44
DasM_2024	DasM_2024__SRR29845384__bin.1	SRR29845384	assigned	SGB7788	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_subtilis	3589343.0	358.0	14778.0	91.61	2.74	0.44
