MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SaakC_2023__SRR17227786__bin.1	SaakC_2023	SRR17227786	assigned	SGB69382	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_sp_FME13	2228144.0	161.0	20851.0	73.98	0.17	0.42
SaakC_2023__SRR17227786__bin.13	SaakC_2023	SRR17227786	assigned	SGB30757	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_prydzensis	4450909.0	141.0	58022.0	95.11	2.82	0.41
SaakC_2023__SRR17227786__bin.15	SaakC_2023	SRR17227786	assigned	SGB13904	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_nigrifaciens	3279453.0	284.0	15660.0	87.29	0.34	0.4
SaakC_2023__SRR17227786__bin.17	SaakC_2023	SRR17227786	assigned	SGB69917	uSGB	Family	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	GGB49922	GGB49922_SGB69917	2263440.0	210.0	17189.0	76.49	3.97	0.44
SaakC_2023__SRR17227786__bin.21	SaakC_2023	SRR17227786	assigned	SGB211232	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_SGB211232	2667370.0	80.0	59279.0	72.67	0.19	0.42
SaakC_2023__SRR17227786__bin.23	SaakC_2023	SRR17227786	assigned	SGB9845	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_casei	3547559.0	92.0	78338.0	88.19	0.37	0.4
SaakC_2023__SRR17227786__bin.4	SaakC_2023	SRR17227786	assigned	SGB10455	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_alimentarius	2983836.0	75.0	68495.0	86.72	2.63	0.43
SaakC_2023__SRR17227786__bin.6	SaakC_2023	SRR17227786	assigned	SGB10459	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	2723722.0	307.0	11402.0	77.2	3.52	0.43
SaakC_2023__SRR17227786__bin.7	SaakC_2023	SRR17227786	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1469193.0	221.0	8650.0	80.93	0.2	0.39
SaakC_2023__SRR17227787__bin.10	SaakC_2023	SRR17227787	assigned	SGB100041	uSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_SGB100041	3219880.0	144.0	38719.0	88.07	0.51	0.42
