MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
YulandiA_2020__SRS6115052__bin.29	YulandiA_2020	SRS6115052	assigned	SGB1203	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_indonesiensis	1859959.0	487.0	4162.0	77.00983718	4.187396352	0.555854726
YulandiA_2020__SRS6115053__bin.10	YulandiA_2020	SRS6115053	assigned	SGB7951	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_gallinarum	2975088.0	114.0	52110.0	97.73584906	0.377358491	0.409430242
YulandiA_2020__SRS6115052__bin.7	YulandiA_2020	SRS6115052	assigned	SGB32618	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas_terrae	4105430.0	552.0	10056.0	90.98383213	4.086687307	0.664425651
YulandiA_2020__SRS6115053__bin.6	YulandiA_2020	SRS6115053	assigned	SGB10047	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter_hermannii	3069280.0	590.0	6045.0	51.72413793	0.0	0.549508354
YulandiA_2020__SRS6115053__bin.26	YulandiA_2020	SRS6115053	assigned	SGB93603	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp_LRP2_20	5596309.0	320.0	28695.0	94.90294355	2.569924019	0.63271274
YulandiA_2020__SRS6115052__bin.8	YulandiA_2020	SRS6115052	assigned	SGB7961	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_cecorum	1708610.0	230.0	10572.0	89.07284768	1.214128035	0.36641539
YulandiA_2020__SRS6115052__bin.12	YulandiA_2020	SRS6115052	assigned	SGB48612	uSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB48612	898943.0	156.0	7122.0	64.15819511	0.801230605	0.448500072
YulandiA_2020__SRS6115053__bin.7	YulandiA_2020	SRS6115053	assigned	SGB7118	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_paramesenteroides	1761791.0	185.0	14933.0	97.08588957	0.920245399	0.380041674
YulandiA_2020__SRS6115052__bin.1	YulandiA_2020	SRS6115052	assigned	SGB2576	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_gleum	4609682.0	1207.0	4384.0	81.340151	3.349673203	0.361236415
YulandiA_2020__SRS6115052__bin.21	YulandiA_2020	SRS6115052	assigned	SGB7118	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_paramesenteroides	1856426.0	104.0	43978.0	98.36400818	0.0	0.379500179
YulandiA_2020__SRS6115052__bin.2	YulandiA_2020	SRS6115052	assigned	SGB93598	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_SGB93598	3548559.0	68.0	83869.0	98.7704918	1.014832162	0.681089422
YulandiA_2020__SRS6115052__bin.28	YulandiA_2020	SRS6115052	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1309363.0	103.0	19245.0	93.44746163	1.796536797	0.513236589
YulandiA_2020__SRS6115053__bin.17	YulandiA_2020	SRS6115053	assigned	SGB93192	uSGB	Family	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	GGB69127	GGB69127_SGB93192	2215978.0	161.0	22970.0	97.07602339	2.192982456	0.642170184
YulandiA_2020__SRS6115053__bin.2	YulandiA_2020	SRS6115053	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1586452.0	100.0	23354.0	92.62295082	0.683060109	0.533376364
YulandiA_2020__SRS6115052__bin.11	YulandiA_2020	SRS6115052	assigned	SGB7081	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_agilis	1578394.0	176.0	14509.0	93.84816754	1.439790576	0.422999581
YulandiA_2020__SRS6115052__bin.6	YulandiA_2020	SRS6115052	assigned	SGB28240	kSGB	Species	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_thalpophilum	4723160.0	300.0	31242.0	97.79365079	1.666666667	0.433347378
