MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
PothakosV_2020__ERS2068299__bin.5	PothakosV_2020	ERS2068299	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2435350	837	3041	76.63885398	3.674242424	0.348825836
PothakosV_2020__ERS2068303__bin.13	PothakosV_2020	ERS2068303	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1764902	566	3378	76.41719616	2.746212121	0.352161196
PothakosV_2020__ERS2068299__bin.13	PothakosV_2020	ERS2068299	SGB16053	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	4208576	132	53077	99.22928709	1.541425819	0.747164837
PothakosV_2020__ERS2068298__bin.19	PothakosV_2020	ERS2068298	SGB16053	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	4206324	103	66905	100.0	2.986512524	0.747297165
PothakosV_2020__ERS2068300__bin.15	PothakosV_2020	ERS2068300	SGB16053	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	4216533	198	35015	100.0	1.107899807	0.746974114
PothakosV_2020__ERS2068301__bin.28	PothakosV_2020	ERS2068301	SGB16053	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	4210764	208	36302	99.42196532	1.445086705	0.74755745
PothakosV_2020__ERS2068302__bin.3	PothakosV_2020	ERS2068302	SGB16053	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	3957570	822	5997	93.25626204	4.142581888	0.744472997
PothakosV_2020__ERS2068303__bin.6	PothakosV_2020	ERS2068303	SGB7074	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_hordei	2922222	809	3934	78.79310345	1.724137931	0.350672536
PothakosV_2020__ERS2068301__bin.18	PothakosV_2020	ERS2068301	SGB1186	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_thailandicus	2041781	540	4259	83.00257024	4.660033167	0.510431824
PothakosV_2020__ERS2068298__bin.5	PothakosV_2020	ERS2068298	SGB1186	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_thailandicus	2020337	554	4153	78.15117959	2.698628072	0.511891828
PothakosV_2020__ERS2068302__bin.7	PothakosV_2020	ERS2068302	SGB1186	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_thailandicus	1926697	521	4004	76.9997155	1.865671642	0.511719798
