MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
FerrocinoI_2018__SRS1779539__bin.2	FerrocinoI_2018	SRS1779539	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	2732919.0	243.0	21380.0	95.69444444	1.759259259	0.326510592
FerrocinoI_2018__SRS1779542__bin.5	FerrocinoI_2018	SRS1779542	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	1447161.0	39.0	67158.0	76.11111111	0.0	0.325707368
FerrocinoI_2018__SRS1779545__bin.1	FerrocinoI_2018	SRS1779545	assigned	SGB7122	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_citreum	1339432.0	80.0	35885.0	84.01685393	0.187265918	0.391126985
FerrocinoI_2018__SRS1779545__bin.10	FerrocinoI_2018	SRS1779545	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2164059.0	330.0	9304.0	94.44444444	3.599099764	0.351782923
FerrocinoI_2018__SRS1779545__bin.3	FerrocinoI_2018	SRS1779545	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	2942820.0	298.0	19400.0	97.75985663	2.407407407	0.323756125
FerrocinoI_2018__SRS1779545__bin.4	FerrocinoI_2018	SRS1779545	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1511414.0	193.0	9680.0	87.33431351	0.815217391	0.422710124
FerrocinoI_2018__SRS1779545__bin.6	FerrocinoI_2018	SRS1779545	assigned	SGB7843	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2866855.0	236.0	26922.0	95.06462474	1.851851852	0.327979266
FerrocinoI_2018__SRS1779548__bin.3	FerrocinoI_2018	SRS1779548	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1091546.0	12.0	131189.0	60.86956522	0.0	0.409662076
FerrocinoI_2018__SRS1779549__bin.5	FerrocinoI_2018	SRS1779549	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	1676942.0	49.0	53098.0	77.77777778	0.555555556	0.324435788
FerrocinoI_2018__SRS1779550__bin.3	FerrocinoI_2018	SRS1779550	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	2675049.0	528.0	6842.0	87.02481807	1.018518519	0.328568561
FerrocinoI_2018__SRS1779550__bin.5	FerrocinoI_2018	SRS1779550	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2296844.0	362.0	8774.0	97.91666667	2.032828283	0.350832272
FerrocinoI_2018__SRS1779551__bin.3	FerrocinoI_2018	SRS1779551	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1074437.0	10.0	135928.0	60.86956522	0.0	0.40958381
FerrocinoI_2018__SRS1779552__bin.2	FerrocinoI_2018	SRS1779552	assigned	SGB7847	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	2607992.0	387.0	9488.0	91.63888889	2.222222222	0.327020175
FerrocinoI_2018__SRS1779554__bin.3	FerrocinoI_2018	SRS1779554	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2092555.0	286.0	11222.0	90.08838384	2.225378788	0.352079635
FerrocinoI_2018__SRS1779554__bin.5	FerrocinoI_2018	SRS1779554	assigned	SGB7168	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1053918.0	339.0	3260.0	53.62387098	1.28600823	0.425552083
FerrocinoI_2018__SRS1779555__bin.3	FerrocinoI_2018	SRS1779555	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1885515.0	136.0	19331.0	96.37681159	1.902173913	0.411110492
