MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
ChaconVargasK_2020__SRS6087091__bin.3	ChaconVargasK_2020	SRS6087091	assigned	SGB94715	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB94715	718763.0	93.0	10815.0	50.16360044	0.070224719	0.376064155
ChaconVargasK_2020__SRS6087091__bin.10	ChaconVargasK_2020	SRS6087091	assigned	SGB7216	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2850699.0	373.0	10814.0	93.05505952	4.368179563	0.393197949
ChaconVargasK_2020__SRS6087094__bin.7	ChaconVargasK_2020	SRS6087094	assigned	SGB94715	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB94715	702204.0	65.0	18977.0	62.35620653	0.230481129	0.375390912
ChaconVargasK_2020__SRS6087094__bin.4	ChaconVargasK_2020	SRS6087094	assigned	SGB94718	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_SGB94718	1612126.0	178.0	12066.0	96.50030432	3.270440252	0.356280464
ChaconVargasK_2020__SRS6087088__bin.9	ChaconVargasK_2020	SRS6087088	assigned	SGB92555	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_SGB92555	1558974.0	346.0	5510.0	81.848659	1.149425287	0.376663754
ChaconVargasK_2020__SRS6087094__bin.5	ChaconVargasK_2020	SRS6087094	assigned	SGB94719	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_SGB94719	1920194.0	156.0	21944.0	96.17163725	1.257861635	0.358672093
ChaconVargasK_2020__SRS6087091__bin.6	ChaconVargasK_2020	SRS6087091	assigned	SGB10209	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia_alvei	2261189.0	463.0	5643.0	61.02463036	1.334680135	0.495098817
ChaconVargasK_2020__SRS6087094__bin.10	ChaconVargasK_2020	SRS6087094	assigned	SGB92555	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_SGB92555	1722100.0	270.0	8361.0	84.6743295	1.340996169	0.375310958
ChaconVargasK_2020__SRS6087089__bin.16	ChaconVargasK_2020	SRS6087089	assigned	SGB94715	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB94715	739154.0	80.0	13474.0	62.06896552	0.0	0.374195364
ChaconVargasK_2020__SRS6087089__bin.25	ChaconVargasK_2020	SRS6087089	assigned	SGB7216	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2537236.0	473.0	7057.0	83.22115688	2.986111111	0.394806396
