dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LiYM_2020	LiYM_2020__ERR3427613__bin.6	ERR3427613	assigned	SGB2549	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Epilithonimonas	Epilithonimonas_hominis	2011671.0	566.0	4145.0	96.75	1.83	0.36
LiYM_2020	LiYM_2020__ERR3427620__bin.23	ERR3427620	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1398207.0	74.0	43717.0	86.49	0.14	0.36
LiYM_2020	LiYM_2020__ERR3427621__bin.18	ERR3427621	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1361682.0	67.0	41080.0	88.21	0.11	0.36
LiYM_2020	LiYM_2020__ERR3427617__bin.7	ERR3427617	assigned	SGB7112	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_minor	892638.0	17.0	169682.0	53.62	1.85	0.4
LiYM_2020	LiYM_2020__ERR3427619__bin.25	ERR3427619	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1102090.0	142.0	10372.0	50.0	1.36	0.45
LiYM_2020	LiYM_2020__ERR3427617__bin.30	ERR3427617	assigned	SGB7119	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_jogaejeotgali	1067083.0	49.0	35022.0	59.75	3.15	0.39
LiYM_2020	LiYM_2020__ERR3427619__bin.19	ERR3427619	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	856299.0	71.0	16215.0	57.39	0.2	0.44
LiYM_2020	LiYM_2020__ERR3427623__bin.15	ERR3427623	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1328270.0	186.0	8900.0	79.93	3.61	0.44
LiYM_2020	LiYM_2020__ERR3427626__bin.31	ERR3427626	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1202640.0	175.0	8600.0	74.56	1.6	0.44
LiYM_2020	LiYM_2020__ERR3427620__bin.24	ERR3427620	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1369616.0	332.0	4880.0	77.72	2.57	0.44
LiYM_2020	LiYM_2020__ERR3427618__bin.34	ERR3427618	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	967563.0	259.0	4193.0	56.69	2.93	0.44
LiYM_2020	LiYM_2020__ERR3427621__bin.23	ERR3427621	assigned	SGB7127	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_gasicomitatum	2018341.0	115.0	47346.0	99.94	0.3	0.37
LiYM_2020	LiYM_2020__ERR3427617__bin.12	ERR3427617	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2316518.0	71.0	73215.0	99.75	0.05	0.46
LiYM_2020	LiYM_2020__ERR3427621__bin.8	ERR3427621	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2961181.0	239.0	17399.0	99.99	0.89	0.45
LiYM_2020	LiYM_2020__ERR3427621__bin.7	ERR3427621	assigned	SGB7220	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_buchneri	2270773.0	87.0	48616.0	99.98	0.35	0.45
LiYM_2020	LiYM_2020__ERR3427620__bin.15	ERR3427620	assigned	SGB7220	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_buchneri	2329749.0	242.0	17194.0	96.57	2.89	0.45
LiYM_2020	LiYM_2020__ERR3427621__bin.17	ERR3427621	assigned	SGB7235	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_alimentarius	2644268.0	150.0	38487.0	95.43	1.3	0.35
LiYM_2020	LiYM_2020__ERR3427613__bin.7	ERR3427613	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1900677.0	225.0	13466.0	96.35	1.11	0.41
LiYM_2020	LiYM_2020__ERR3427617__bin.17	ERR3427617	assigned	SGB7515	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Caryophanaceae	Kurthia	Kurthia_gibsonii	2185833.0	423.0	7030.0	75.8	0.41	0.37
LiYM_2020	LiYM_2020__ERR3427617__bin.25	ERR3427617	assigned	SGB7830	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_carnosus	2331651.0	94.0	65489.0	85.24	1.89	0.35
LiYM_2020	LiYM_2020__ERR3427623__bin.9	ERR3427623	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1643378.0	108.0	25786.0	79.47	1.85	0.35
LiYM_2020	LiYM_2020__ERR3427620__bin.19	ERR3427620	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2249052.0	253.0	14513.0	99.87	3.47	0.35
LiYM_2020	LiYM_2020__ERR3427618__bin.6	ERR3427618	assigned	SGB9955	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas_caviae	2061351.0	295.0	10062.0	53.74	1.22	0.63
LiYM_2020	LiYM_2020__ERR3427626__bin.13	ERR3427626	assigned	SGB10185	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_anthophila	2436418.0	318.0	11249.0	55.89	3.09	0.58
LiYM_2020	LiYM_2020__ERR3427619__bin.26	ERR3427619	assigned	SGB10270	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium_versatile	3383958.0	172.0	39688.0	74.8	4.34	0.52
LiYM_2020	LiYM_2020__ERR3427618__bin.11	ERR3427618	assigned	SGB10315	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella_xiamenensis	3158594.0	565.0	7020.0	71.29	0.71	0.46
LiYM_2020	LiYM_2020__ERR3427624__bin.5	ERR3427624	assigned	SGB10346	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii	3239780.0	199.0	37154.0	83.88	2.27	0.39
LiYM_2020	LiYM_2020__ERR3427624__bin.1	ERR3427624	assigned	SGB10370	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_junii	1456605.0	292.0	5918.0	53.72	1.29	0.39
LiYM_2020	LiYM_2020__ERR3427618__bin.30	ERR3427618	assigned	SGB10374	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_soli	1575763.0	118.0	19030.0	51.58	2.17	0.43
LiYM_2020	LiYM_2020__ERR3427613__bin.5	ERR3427613	assigned	SGB10398	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii	2221741.0	656.0	3794.0	71.79	2.82	0.42
LiYM_2020	LiYM_2020__ERR3427626__bin.41	ERR3427626	assigned	SGB10439	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella_osloensis	1629398.0	458.0	3943.0	68.76	2.43	0.44
LiYM_2020	LiYM_2020__ERR3427618__bin.17	ERR3427618	assigned	SGB10439	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella_osloensis	1567754.0	451.0	3804.0	61.45	1.93	0.44
LiYM_2020	LiYM_2020__ERR3427621__bin.9	ERR3427621	assigned	SGB10442	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_sanguinis	2300196.0	412.0	7045.0	80.66	0.43	0.41
LiYM_2020	LiYM_2020__ERR3427618__bin.5	ERR3427618	assigned	SGB11081	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified	Hyphomicrobiales_bacterium	3010866.0	1034.0	3145.0	76.77	3.33	0.59
LiYM_2020	LiYM_2020__ERR3427616__bin.20	ERR3427616	assigned	SGB13904	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_nigrifaciens	3184736.0	242.0	22996.0	85.97	1.01	0.4
LiYM_2020	LiYM_2020__ERR3427619__bin.22	ERR3427619	assigned	SGB16673	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_kristinae	1698245.0	550.0	3299.0	58.03	0.46	0.72
LiYM_2020	LiYM_2020__ERR3427617__bin.18	ERR3427617	assigned	SGB29577	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_sagaensis	1200512.0	24.0	102700.0	74.44	0.19	0.37
LiYM_2020	LiYM_2020__ERR3427623__bin.13	ERR3427623	assigned	SGB56399	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_calauticae	4909416.0	41.0	183994.0	90.08	0.18	0.59
