MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
WalshAM_2020__ERS3466718__bin.2	WalshAM_2020	ERS3466718	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1756705.0	181.0	14647.0	77.35849057	1.698113208	0.355481427
WalshAM_2020__ERS3466718__bin.3	WalshAM_2020	ERS3466718	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1703883.0	52.0	45124.0	100.0	0.0	0.392576251
WalshAM_2020__ERS3466719__bin.1	WalshAM_2020	ERS3466719	assigned	SGB29882	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_koreensis	1527340.0	568.0	2821.0	63.37748344	1.334537427	0.364853274
WalshAM_2020__ERS3466719__bin.2	WalshAM_2020	ERS3466719	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2489743.0	105.0	47364.0	100.0	0.408805031	0.348615901
WalshAM_2020__ERS3466720__bin.1	WalshAM_2020	ERS3466720	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2232766.0	157.0	24952.0	95.55188987	1.515151515	0.348621396
WalshAM_2020__ERS3466720__bin.2	WalshAM_2020	ERS3466720	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1483629.0	260.0	7221.0	56.03448276	0.0	0.353858006
WalshAM_2020__ERS3466722__bin.2	WalshAM_2020	ERS3466722	assigned	SGB49082	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus_nenjiangensis	1752489.0	99.0	27270.0	94.02173913	0.27173913	0.38847833
WalshAM_2020__ERS3466722__bin.3	WalshAM_2020	ERS3466722	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1966000.0	168.0	14659.0	92.61006289	0.566037736	0.356744151
WalshAM_2020__ERS3466723__bin.1	WalshAM_2020	ERS3466723	assigned	SGB7843	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	1575568.0	33.0	66971.0	77.77777778	0.0	0.327517441
WalshAM_2020__ERS3466723__bin.4	WalshAM_2020	ERS3466723	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1498670.0	140.0	21130.0	59.95297806	0.0	0.347854431
WalshAM_2020__ERS3466724__bin.1	WalshAM_2020	ERS3466724	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1979835.0	172.0	19036.0	77.45559039	0.0	0.348250233
WalshAM_2020__ERS3466724__bin.6	WalshAM_2020	ERS3466724	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1910167.0	184.0	12821.0	90.1572327	0.914808462	0.356245292
WalshAM_2020__ERS3466725__bin.1	WalshAM_2020	ERS3466725	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1462310.0	315.0	5762.0	84.19315704	0.649350649	0.367499367
WalshAM_2020__ERS3466725__bin.2	WalshAM_2020	ERS3466725	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2459158.0	50.0	105139.0	100.0	0.377358491	0.348188689
WalshAM_2020__ERS3466725__bin.3	WalshAM_2020	ERS3466725	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1322311.0	228.0	7599.0	82.59579373	1.069868996	0.394270334
WalshAM_2020__ERS3466726__bin.2	WalshAM_2020	ERS3466726	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	678394.0	50.0	21382.0	50.0	0.0	0.357733117
WalshAM_2020__ERS3466726__bin.4	WalshAM_2020	ERS3466726	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1849197.0	184.0	13759.0	78.73563218	0.0	0.355322878
WalshAM_2020__ERS3466726__bin.6	WalshAM_2020	ERS3466726	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2080384.0	134.0	24327.0	89.99824785	2.075471698	0.348502488
