MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
XieM_2019__SAMC044639__bin.26	XieM_2019	SAMC044639	assigned	SGB12831	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_timonae	4027630.0	1271.0	3437.0	69.92186147	4.488095238	0.660550746
XieM_2019__SAMC044639__bin.28	XieM_2019	SAMC044639	assigned	SGB10144	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	Lelliottia_nimipressuralis	2117360.0	41.0	91204.0	53.11529947	0.062358277	0.553400461
XieM_2019__SAMC044639__bin.1	XieM_2019	SAMC044639	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	2179938.0	169.0	24430.0	87.2863716	2.914110429	0.449743066
XieM_2019__SAMC044639__bin.19	XieM_2019	SAMC044639	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2159753.0	104.0	35635.0	94.0625	0.0	0.46284089
XieM_2019__SAMC044639__bin.27	XieM_2019	SAMC044639	assigned	SGB82744	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus_indicireducens	3652767.0	626.0	7837.0	75.43859649	3.50877193	0.39719451
XieM_2019__SAMC044639__bin.4	XieM_2019	SAMC044639	assigned	SGB7817	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	1521277.0	9.0	389273.0	74.58563536	1.104972376	0.316639902
XieM_2019__SAMC044639__bin.22	XieM_2019	SAMC044639	assigned	SGB38545	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas_maltophilia	3835943.0	485.0	11258.0	94.03224362	1.16353187	0.674362732
XieM_2019__SAMC044639__bin.3	XieM_2019	SAMC044639	assigned	SGB7111	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_viridescens	1441878.0	70.0	32033.0	91.65644172	4.447852761	0.412020989
XieM_2019__SAMC044639__bin.15	XieM_2019	SAMC044639	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2215748.0	428.0	6152.0	89.14609053	2.049039781	0.452922444
XieM_2019__SAMC044639__bin.32	XieM_2019	SAMC044639	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4586097.0	45.0	171552.0	97.32240437	1.879781421	0.553963207
XieM_2019__SAMC044639__bin.20	XieM_2019	SAMC044639	assigned	SGB32540	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Aquabacterium	Aquabacterium_commune	3570483.0	30.0	243268.0	98.85124611	0.0	0.670670327
XieM_2019__SAMC044639__bin.30	XieM_2019	SAMC044639	assigned	SGB7122	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_citreum	2023501.0	110.0	40623.0	97.47826378	2.959470305	0.390155478
XieM_2019__SAMC044639__bin.9	XieM_2019	SAMC044639	assigned	SGB10129	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_quasihormaechei	4419635.0	70.0	106449.0	97.39577099	0.228528912	0.559442352
XieM_2019__SAMC044639__bin.31	XieM_2019	SAMC044639	assigned	SGB10086	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter_braakii	4723105.0	50.0	163711.0	75.15673981	1.724137931	0.521696215
XieM_2019__SAMC044639__bin.40	XieM_2019	SAMC044639	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1921358.0	231.0	12741.0	95.23809524	1.415973797	0.377473641
XieM_2019__SAMC044639__bin.34	XieM_2019	SAMC044639	assigned	SGB7968	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2037527.0	272.0	13092.0	85.01796945	1.037735849	0.385944333
