MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
YasirM_2022__SRR18334997__bin.10	YasirM_2022	SRR18334997	assigned	SGB7214	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parafarraginis	2552383.0	261.0	16434.0	97.75	2.31	0.46
YasirM_2022__SRR18334997__bin.2	YasirM_2022	SRR18334997	assigned	SGB7191	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_namurensis	2230271.0	70.0	53673.0	90.88	0.14	0.53
YasirM_2022__SRR18334997__bin.4	YasirM_2022	SRR18334997	assigned	SGB7178	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_ethanolidurans	1823992.0	140.0	26396.0	88.38	0.34	0.37
YasirM_2022__SRR18334997__bin.7	YasirM_2022	SRR18334997	assigned	SGB7200	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_pentosus	1956456.0	251.0	9938.0	61.16	0.59	0.46
YasirM_2022__SRR18334997__bin.9	YasirM_2022	SRR18334997	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1725806.0	234.0	11510.0	99.09	0.56	0.36
YasirM_2022__SRR18334998__bin.1	YasirM_2022	SRR18334998	assigned	SGB210747	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	Alloalcanivorax_SGB210747	3259179.0	788.0	4870.0	78.33	2.45	0.65
YasirM_2022__SRR18334998__bin.3	YasirM_2022	SRR18334998	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1929921.0	351.0	8017.0	94.14	2.7	0.36
YasirM_2022__SRR18334998__bin.4	YasirM_2022	SRR18334998	assigned	SGB7191	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_namurensis	2463639.0	171.0	20597.0	96.16	4.24	0.52
YasirM_2022__SRR18334998__bin.9	YasirM_2022	SRR18334998	assigned	SGB7094	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_panis	1505071.0	158.0	13950.0	79.36	1.6	0.49
YasirM_2022__SRR18334999__bin.1	YasirM_2022	SRR18334999	assigned	SGB9549	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina_aquatica	1574539.0	554.0	2989.0	54.55	1.12	0.49
YasirM_2022__SRR18334999__bin.6	YasirM_2022	SRR18334999	assigned	SGB210747	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	Alloalcanivorax_SGB210747	4010535.0	280.0	23477.0	99.83	0.09	0.64
YasirM_2022__SRR18335000__bin.1	YasirM_2022	SRR18335000	assigned	SGB7191	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_namurensis	2134400.0	300.0	8931.0	90.85	2.73	0.53
YasirM_2022__SRR18335000__bin.4	YasirM_2022	SRR18335000	assigned	SGB7178	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_ethanolidurans	1991633.0	216.0	16016.0	95.18	4.8	0.37
YasirM_2022__SRR18335001__bin.1	YasirM_2022	SRR18335001	assigned	SGB7178	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_ethanolidurans	2020041.0	150.0	28801.0	87.12	0.02	0.37
YasirM_2022__SRR18335001__bin.4	YasirM_2022	SRR18335001	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1718775.0	79.0	33983.0	98.16	0.05	0.53
YasirM_2022__SRR18335001__bin.7	YasirM_2022	SRR18335001	assigned	SGB7191	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_namurensis	2538715.0	46.0	102902.0	96.03	0.11	0.52
