MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
KastmanEK_2016__CSB720__bin.3	KastmanEK_2016	CSB720	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1740087	465	4191	83.63875737	1.635220126	0.349216447
KastmanEK_2016__CSB729__bin.6	KastmanEK_2016	CSB729	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2222004	111	37405	95.28301887	0.188679245	0.350525472
KastmanEK_2016__CSB720__bin.1	KastmanEK_2016	CSB720	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2190902	556	4758	87.82407407	2.361111111	0.327750853
KastmanEK_2016__CSB729__bin.2	KastmanEK_2016	CSB729	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2791800	196	28957	99.44444444	0.833333333	0.329468801
KastmanEK_2016__CSB962__bin.4	KastmanEK_2016	CSB962	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2685071	131	45291	97.22222222	1.111111111	0.329493708
KastmanEK_2016__CSB307__bin.3	KastmanEK_2016	CSB307	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2661760	105	45297	99.44444444	1.823476703	0.329357267
KastmanEK_2016__CSB341__bin.4	KastmanEK_2016	CSB341	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2465003	87	51798	91.66666667	0.740740741	0.330217448
KastmanEK_2016__CSB387__bin.5	KastmanEK_2016	CSB387	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2555428	97	73954	98.88888889	0.555555556	0.329813636
KastmanEK_2016__CSB409__bin.2	KastmanEK_2016	CSB409	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	1682609	625	2779	66.2487781	1.666666667	0.334784255
KastmanEK_2016__CSB600__bin.4	KastmanEK_2016	CSB600	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2747717	358	10151	95.60185185	2.083333333	0.330917995
KastmanEK_2016__CSB694__bin.5	KastmanEK_2016	CSB694	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2771422	260	17246	98.75	2.222222222	0.328587635
KastmanEK_2016__CSB734__bin.9	KastmanEK_2016	CSB734	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2722063	244	20675	98.51851852	1.48989899	0.328501949
KastmanEK_2016__CSB737__bin.1	KastmanEK_2016	CSB737	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2449634	129	34772	92.77777778	0.0	0.329350425
KastmanEK_2016__CSB739__bin.1	KastmanEK_2016	CSB739	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2717525	125	46118	99.44444444	1.064814815	0.328930553
KastmanEK_2016__CSB870__bin.3	KastmanEK_2016	CSB870	SGB7843	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2662862	229	18382	96.44509612	1.157407407	0.327340283
