MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DeFilippisF_xxxx__DF_118__bin.5	DeFilippisF_xxxx	DF_118	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	10607696.0	1450.0	9278.0	82.9	0.0	0.3606
DeFilippisF_xxxx__DF_118__bin.9	DeFilippisF_xxxx	DF_118	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	25328406.0	640.0	60988.0	93.8	0.1	0.4914
DeFilippisF_xxxx__DF_15__bin.7	DeFilippisF_xxxx	DF_15	assigned	EUK10000056	uSGB	Other	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	unknown	unknown	9601640.0	166.0	84425.0	77.2	0.5	0.4598
DeFilippisF_xxxx__DF_15__bin.9	DeFilippisF_xxxx	DF_15	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26627158.0	304.0	159425.0	95.6	0.1	0.49
DeFilippisF_xxxx__DF_18__bin.6	DeFilippisF_xxxx	DF_18	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	10148523.0	2426.0	4793.0	75.4	0.0	0.359
DeFilippisF_xxxx__DF_25__bin.7	DeFilippisF_xxxx	DF_25	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26363286.0	257.0	184036.0	94.9	0.1	0.4901
DeFilippisF_xxxx__DF_25__bin.8	DeFilippisF_xxxx	DF_25	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11497158.0	459.0	60247.0	96.3	0.1	0.3625
DeFilippisF_xxxx__DF_26__bin.4	DeFilippisF_xxxx	DF_26	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11652931.0	339.0	80424.0	97.7	0.1	0.3626
DeFilippisF_xxxx__DF_26__bin.9	DeFilippisF_xxxx	DF_26	assigned	EUK2488753	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_SPG_F1	33108557.0	1373.0	40762.0	94.5	0.2	0.4841
DeFilippisF_xxxx__DF_54__bin.9	DeFilippisF_xxxx	DF_54	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12043102.0	456.0	69350.0	97.9	0.1	0.3624
