MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LeechJ_2020__ERS3967688__bin.1	LeechJ_2020	ERS3967688	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1712121.0	280.0	8284.0	88.78626433	0.207943439	0.393872863
LeechJ_2020__ERS3967688__bin.2	LeechJ_2020	ERS3967688	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	4434805.0	102.0	122530.0	99.37169312	0.037202381	0.509078979
LeechJ_2020__ERS3967688__bin.3	LeechJ_2020	ERS3967688	assigned	SGB8022	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_infantarius	1364724.0	358.0	4442.0	81.6389795	3.258024244	0.37464425
LeechJ_2020__ERS3967688__bin.4	LeechJ_2020	ERS3967688	assigned	SGB9862	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	2692473.0	766.0	3815.0	76.11358019	2.350501802	0.475975804
LeechJ_2020__ERS3967689__bin.2	LeechJ_2020	ERS3967689	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1215832.0	426.0	3040.0	68.41616738	0.325709734	0.397780285
LeechJ_2020__ERS3967689__bin.3	LeechJ_2020	ERS3967689	assigned	SGB10115	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_pneumoniae	3629047.0	1271.0	2944.0	59.63949843	1.724137931	0.585176218
LeechJ_2020__ERS3967689__bin.4	LeechJ_2020	ERS3967689	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	4163654.0	226.0	33420.0	95.78672083	1.030683107	0.510670435
LeechJ_2020__ERS3967689__bin.5	LeechJ_2020	ERS3967689	assigned	SGB8022	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_infantarius	1435253.0	289.0	6345.0	87.87765293	2.244069913	0.375913515
LeechJ_2020__ERS3967690__bin.1	LeechJ_2020	ERS3967690	assigned	SGB7225	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_diolivorans	3064638.0	107.0	43167.0	98.9375	0.625	0.400859743
LeechJ_2020__ERS3967690__bin.2	LeechJ_2020	ERS3967690	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1866372.0	142.0	20250.0	98.41269841	1.234567901	0.376215996
LeechJ_2020__ERS3967690__bin.3	LeechJ_2020	ERS3967690	assigned	SGB12342	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_peli	2893151.0	846.0	3821.0	68.34665335	0.76037447	0.600293936
LeechJ_2020__ERS3967690__bin.4	LeechJ_2020	ERS3967690	assigned	SGB69210	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	Gluconobacter_sp_Gdi	3301388.0	28.0	190706.0	99.50248756	0.497512438	0.557099317
LeechJ_2020__ERS3967690__bin.8	LeechJ_2020	ERS3967690	assigned	SGB1164	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	Gluconobacter_albidus	2570273.0	587.0	5110.0	66.55172414	0.0	0.602900548
LeechJ_2020__ERS3967690__bin.9	LeechJ_2020	ERS3967690	assigned	SGB1194	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_pomorum	2018449.0	271.0	10040.0	90.64473575	2.63175812	0.531643356
LeechJ_2020__ERS3967691__bin.10	LeechJ_2020	ERS3967691	assigned	SGB69405	uSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_SGB69405	1472025.0	21.0	157295.0	64.30041152	0.685871056	0.440342385
LeechJ_2020__ERS3967691__bin.13	LeechJ_2020	ERS3967691	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1949345.0	211.0	12867.0	92.61758691	1.533742331	0.452421198
LeechJ_2020__ERS3967691__bin.4	LeechJ_2020	ERS3967691	assigned	SGB69408	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_pseudomesenteroides	2197615.0	81.0	51890.0	95.43721909	0.970017637	0.386931742
LeechJ_2020__ERS3967692__bin.1	LeechJ_2020	ERS3967692	assigned	SGB29637	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_mulengensis	2786593.0	163.0	25734.0	98.75	1.163194444	0.511254424
