dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
VermoteL_2025	VermoteL_2025__ERR15089291__bin.11	ERR15089291	assigned	SGB1195	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	1289039.0	23.0	84557.0	56.26	0.06	0.54
VermoteL_2025	VermoteL_2025__ERR15089292__bin.11	ERR15089292	assigned	SGB1195	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	1264498.0	23.0	93838.0	54.19	0.08	0.54
VermoteL_2025	VermoteL_2025__ERR15089290__bin.12	ERR15089290	assigned	SGB1195	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	2094116.0	417.0	6124.0	81.46	0.35	0.52
VermoteL_2025	VermoteL_2025__ERR15089283__bin.8	ERR15089283	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	2767736.0	108.0	39320.0	99.98	0.2	0.58
VermoteL_2025	VermoteL_2025__ERR15089291__bin.8	ERR15089291	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	2023988.0	17.0	198738.0	64.67	0.36	0.58
VermoteL_2025	VermoteL_2025__ERR15089282__bin.3	ERR15089282	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	2748225.0	84.0	52699.0	99.99	0.26	0.58
VermoteL_2025	VermoteL_2025__ERR15089289__bin.4	ERR15089289	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	1821075.0	34.0	81564.0	60.98	0.1	0.59
VermoteL_2025	VermoteL_2025__ERR15089290__bin.3	ERR15089290	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	1924723.0	19.0	130381.0	63.83	0.1	0.59
VermoteL_2025	VermoteL_2025__ERR15089292__bin.12	ERR15089292	assigned	SGB1200	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	2537845.0	24.0	162813.0	83.26	0.04	0.58
VermoteL_2025	VermoteL_2025__ERR15089280__bin.5	ERR15089280	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1407805.0	140.0	14572.0	84.57	0.32	0.36
