MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
AlvarezOrdonezA_xxxx__F07-18__bin.4	AlvarezOrdonezA_xxxx	F07-18	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1195642.0	442.0	2795.0	52.19467872	1.006289308	0.365747439
AlvarezOrdonezA_xxxx__Q05-24__bin.1	AlvarezOrdonezA_xxxx	Q05-24	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2452715.0	206.0	20014.0	90.3685885	2.012578616	0.354377088
AlvarezOrdonezA_xxxx__Q08-30__bin.24	AlvarezOrdonezA_xxxx	Q08-30	assigned	SGB7117	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_hellenica	1558495.0	115.0	19404.0	73.68421053	0.0	0.366917443
AlvarezOrdonezA_xxxx__F02-18__bin.2	AlvarezOrdonezA_xxxx	F02-18	assigned	SGB7231	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_versmoldensis	1281438.0	385.0	3722.0	52.28622754	0.916230366	0.398237761
AlvarezOrdonezA_xxxx__Q03-21__bin.1	AlvarezOrdonezA_xxxx	Q03-21	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2305789.0	173.0	20691.0	92.83318578	2.48427673	0.356087656
AlvarezOrdonezA_xxxx__R03-18__bin.20	AlvarezOrdonezA_xxxx	R03-18	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1641988.0	221.0	11140.0	73.56321839	1.724137931	0.422249127
AlvarezOrdonezA_xxxx__Q07-25__bin.2	AlvarezOrdonezA_xxxx	Q07-25	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1662657.0	112.0	25581.0	100.0	4.07523511	0.391789768
AlvarezOrdonezA_xxxx__F03-19__bin.16	AlvarezOrdonezA_xxxx	F03-19	assigned	SGB29638	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_cerevisiae	2093845.0	517.0	4705.0	65.3851461	0.9375	0.514522326
AlvarezOrdonezA_xxxx__Q02-24__bin.13	AlvarezOrdonezA_xxxx	Q02-24	assigned	SGB10124	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella_ornithinolytica	2971506.0	34.0	187399.0	65.61259921	0.690310847	0.55999685
AlvarezOrdonezA_xxxx__C06-19__bin.13	AlvarezOrdonezA_xxxx	C06-19	assigned	SGB98502	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_SGB98502	3581425.0	234.0	25319.0	95.74923547	1.796636086	0.637568845
AlvarezOrdonezA_xxxx__F03-18__bin.8	AlvarezOrdonezA_xxxx	F03-18	assigned	SGB31329	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2171686.0	540.0	4646.0	85.7706023	3.885429639	0.421022652
AlvarezOrdonezA_xxxx__C05-17__bin.8	AlvarezOrdonezA_xxxx	C05-17	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1658983.0	160.0	14884.0	93.47826087	1.811594203	0.415367126
AlvarezOrdonezA_xxxx__R03-18__bin.16	AlvarezOrdonezA_xxxx	R03-18	assigned	SGB98788	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria_sp_p3_SID1433	2927752.0	237.0	20335.0	97.69736842	1.535087719	0.702302996
AlvarezOrdonezA_xxxx__Q01-29__bin.3	AlvarezOrdonezA_xxxx	Q01-29	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1681413.0	191.0	13334.0	96.00713939	1.236793915	0.390249154
AlvarezOrdonezA_xxxx__Q07-22__bin.8	AlvarezOrdonezA_xxxx	Q07-22	assigned	SGB2756	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter_agarivorans	2397500.0	706.0	3731.0	67.2903562	0.570342205	0.377867362
AlvarezOrdonezA_xxxx__Q06-25__bin.2	AlvarezOrdonezA_xxxx	Q06-25	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1982671.0	143.0	24122.0	91.90236817	0.786163522	0.356041925
AlvarezOrdonezA_xxxx__Q05-26__bin.7	AlvarezOrdonezA_xxxx	Q05-26	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1008315.0	314.0	3447.0	54.31034483	0.0	0.351413993
AlvarezOrdonezA_xxxx__Q03-30__bin.5	AlvarezOrdonezA_xxxx	Q03-30	assigned	SGB93100	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB93100	4126016.0	52.0	141945.0	100.0	0.0	0.62286695
AlvarezOrdonezA_xxxx__Q07-20__bin.14	AlvarezOrdonezA_xxxx	Q07-20	assigned	SGB7989	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_raffinolactis	2013288.0	45.0	93653.0	96.41509434	0.251572327	0.401894811
AlvarezOrdonezA_xxxx__Q02-28__bin.13	AlvarezOrdonezA_xxxx	Q02-28	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2642903.0	223.0	24124.0	96.3175824	4.088050314	0.351886543
AlvarezOrdonezA_xxxx__Q04-26__bin.9	AlvarezOrdonezA_xxxx	Q04-26	assigned	SGB11855	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter_japonicus	2409138.0	529.0	5085.0	60.34482759	2.586206897	0.615440876
AlvarezOrdonezA_xxxx__Q08-26__bin.12	AlvarezOrdonezA_xxxx	Q08-26	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1560133.0	194.0	12409.0	96.14507521	0.914604561	0.392449874
AlvarezOrdonezA_xxxx__C02-16__bin.19	AlvarezOrdonezA_xxxx	C02-16	assigned	SGB7517	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2141729.0	287.0	9351.0	94.47513812	1.906077348	0.366775628
AlvarezOrdonezA_xxxx__C05-18__bin.18	AlvarezOrdonezA_xxxx	C05-18	assigned	SGB98796	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB98796	3481657.0	950.0	4237.0	62.52491694	3.779069767	0.622208046
AlvarezOrdonezA_xxxx__Q03-28__bin.5	AlvarezOrdonezA_xxxx	Q03-28	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2533442.0	483.0	7321.0	79.78056426	3.448275862	0.352497906
AlvarezOrdonezA_xxxx__F01-17__bin.2	AlvarezOrdonezA_xxxx	F01-17	assigned	SGB12106	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fragi	3818567.0	1026.0	4259.0	79.70504466	2.990620491	0.592008468
AlvarezOrdonezA_xxxx__Q07-20__bin.6	AlvarezOrdonezA_xxxx	Q07-20	assigned	SGB12107	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fragi	4686281.0	197.0	34808.0	76.31578947	1.754385965	0.596755295
AlvarezOrdonezA_xxxx__Q02-27__bin.6	AlvarezOrdonezA_xxxx	Q02-27	assigned	SGB10207	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia_paralvei	4669226.0	195.0	39551.0	64.29467085	0.0	0.480213851
AlvarezOrdonezA_xxxx__F03-19__bin.4	AlvarezOrdonezA_xxxx	F03-19	assigned	SGB31329	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2029316.0	544.0	4133.0	74.29467085	1.724137931	0.422894709
AlvarezOrdonezA_xxxx__Q01-23X__bin.6	AlvarezOrdonezA_xxxx	Q01-23X	assigned	SGB7843	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2654031.0	563.0	6078.0	94.35185185	0.555555556	0.332144952
AlvarezOrdonezA_xxxx__Q07-28__bin.1	AlvarezOrdonezA_xxxx	Q07-28	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2269402.0	313.0	9590.0	90.67028986	0.883152174	0.435616519
AlvarezOrdonezA_xxxx__Q07-29__bin.12	AlvarezOrdonezA_xxxx	Q07-29	assigned	SGB98977	uSGB	Family	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	GGB71942	GGB71942_SGB98977	4057938.0	148.0	52309.0	98.91891892	1.081081081	0.686732769
AlvarezOrdonezA_xxxx__Q03-23__bin.4	AlvarezOrdonezA_xxxx	Q03-23	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1348524.0	358.0	4337.0	55.17241379	3.448275862	0.34739315
AlvarezOrdonezA_xxxx__Q08-24__bin.3	AlvarezOrdonezA_xxxx	Q08-24	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1636692.0	103.0	28454.0	95.94356261	0.0	0.393511424
AlvarezOrdonezA_xxxx__Q07-25__bin.1	AlvarezOrdonezA_xxxx	Q07-25	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2410018.0	420.0	7891.0	91.67967246	1.862373737	0.34606837
AlvarezOrdonezA_xxxx__Q02-27__bin.3	AlvarezOrdonezA_xxxx	Q02-27	assigned	SGB31286	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	Rahnella_inusitata	2053777.0	13.0	248813.0	57.04918033	0.081967213	0.531545538
AlvarezOrdonezA_xxxx__Q06-23__bin.2	AlvarezOrdonezA_xxxx	Q06-23	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2196185.0	213.0	17480.0	95.27693244	1.763865066	0.349527476
AlvarezOrdonezA_xxxx__Q03-26__bin.3	AlvarezOrdonezA_xxxx	Q03-26	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1553969.0	130.0	17899.0	95.44881126	0.877001456	0.392502038
