MAG_id	dataset_id	sample_id	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content	BUSCO_taxonomy
AlvarezOrdonezA_xxxx__C02-16__bin.18	AlvarezOrdonezA_xxxx	C02-16	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1657020	222	9302	65.42367906	0.527189705	0.414673933	
AlvarezOrdonezA_xxxx__C02-16__bin.19	AlvarezOrdonezA_xxxx	C02-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2141729	287	9351	94.47513812	1.906077348	0.366775628	
AlvarezOrdonezA_xxxx__C02-17__bin.16	AlvarezOrdonezA_xxxx	C02-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2259590	397	7223	97.51381215	4.526822313	0.368790798	
AlvarezOrdonezA_xxxx__C02-17__bin.17	AlvarezOrdonezA_xxxx	C02-17	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1668526	322	6353	71.46063373	1.366601435	0.426260664	
AlvarezOrdonezA_xxxx__C02-19__bin.1	AlvarezOrdonezA_xxxx	C02-19	SGB10238	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Ewingella	Ewingella_americana	3816144	712	6480	64.9122807	0	0.549495512	
AlvarezOrdonezA_xxxx__C02-19__bin.3	AlvarezOrdonezA_xxxx	C02-19	SGB66296	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_lactis	5340756	279	30953	74.13793103	0	0.604631067	
AlvarezOrdonezA_xxxx__C02-19__bin.5	AlvarezOrdonezA_xxxx	C02-19	SGB7843	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	1596974	542	3152	63.79310345	0.862068966	0.340823332	
AlvarezOrdonezA_xxxx__C03-18__bin.11	AlvarezOrdonezA_xxxx	C03-18	SGB98502	Family	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	GGB71697	GGB71697_SGB98502	3564528	339	16154	95.44342508	1.949541284	0.637035535	
AlvarezOrdonezA_xxxx__C03-18__bin.6	AlvarezOrdonezA_xxxx	C03-18	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1860816	399	5471	87.79926335	1.243093923	0.3724135	
AlvarezOrdonezA_xxxx__C03-19__bin.11	AlvarezOrdonezA_xxxx	C03-19	SGB98502	Family	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	GGB71697	GGB71697_SGB98502	3363795	470	10444	90.6116208	1.23853211	0.636263506	
AlvarezOrdonezA_xxxx__C03-19__bin.15	AlvarezOrdonezA_xxxx	C03-19	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2131992	370	7471	92.3572744	3.718885522	0.366236834	
AlvarezOrdonezA_xxxx__C03-19__bin.28	AlvarezOrdonezA_xxxx	C03-19	SGB10459	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	2177064	538	4488	69.12478299	4.109224109	0.429075121	
AlvarezOrdonezA_xxxx__C04-16__bin.14	AlvarezOrdonezA_xxxx	C04-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2091990	337	7869	94.27760946	1.473296501	0.367688182	
AlvarezOrdonezA_xxxx__C04-17__bin.12	AlvarezOrdonezA_xxxx	C04-17	SGB99662	Other	Bacteria	Proteobacteria	CFGB7093	OFGB7093	FGB7093	GGB72462	GGB72462_SGB99662	2700413	249	13651	65.51724138	0	0.466407175	
AlvarezOrdonezA_xxxx__C04-17__bin.2	AlvarezOrdonezA_xxxx	C04-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2058209	390	6435	89.64088398	1.519337017	0.363469891	
AlvarezOrdonezA_xxxx__C04-18__bin.1	AlvarezOrdonezA_xxxx	C04-18	SGB73277	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB73277	3910714	52	105742	100	0	0.635618969	
AlvarezOrdonezA_xxxx__C05-16__bin.10	AlvarezOrdonezA_xxxx	C05-16	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1628652	388	4781	67.24137931	0	0.429449017	
AlvarezOrdonezA_xxxx__C05-16__bin.13	AlvarezOrdonezA_xxxx	C05-16	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1648750	194	10940	95.03856942	1.086956522	0.415805307	
AlvarezOrdonezA_xxxx__C05-16__bin.14	AlvarezOrdonezA_xxxx	C05-16	SGB9826	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium_carnosum	3199141	677	5473	80.86540764	3.233893459	0.387964457	
AlvarezOrdonezA_xxxx__C05-16__bin.5	AlvarezOrdonezA_xxxx	C05-16	SGB96979	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa_SGB96979	961225	280	3779	52.96878279	2.459016393	0.375648782	
AlvarezOrdonezA_xxxx__C05-16__bin.7	AlvarezOrdonezA_xxxx	C05-16	SGB10459	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	1893608	462	4705	50.86206897	0	0.430447062	
AlvarezOrdonezA_xxxx__C05-16__bin.9	AlvarezOrdonezA_xxxx	C05-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1245942	380	3769	60.34482759	0	0.362476745	
AlvarezOrdonezA_xxxx__C05-17__bin.20	AlvarezOrdonezA_xxxx	C05-17	SGB9826	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium_carnosum	1320751	236	6634	51.92573797	0.925963457	0.406093957	
AlvarezOrdonezA_xxxx__C05-17__bin.23	AlvarezOrdonezA_xxxx	C05-17	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2243783	308	8985	77.5862069	0	0.422580972	
AlvarezOrdonezA_xxxx__C05-17__bin.25	AlvarezOrdonezA_xxxx	C05-17	SGB10258	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia_proteamaculans	2849312	686	4811	70.14867203	2.340888278	0.564385367	
AlvarezOrdonezA_xxxx__C05-17__bin.8	AlvarezOrdonezA_xxxx	C05-17	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1658983	160	14884	93.47826087	1.811594203	0.415367126	
AlvarezOrdonezA_xxxx__C05-18__bin.17	AlvarezOrdonezA_xxxx	C05-18	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1827907	52	44105	98.91304348	0	0.411907717	
AlvarezOrdonezA_xxxx__C05-18__bin.18	AlvarezOrdonezA_xxxx	C05-18	SGB98796	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB98796	3481657	950	4237	62.52491694	3.779069767	0.622208046	
AlvarezOrdonezA_xxxx__C05-18__bin.20	AlvarezOrdonezA_xxxx	C05-18	SGB98790	Other	Bacteria	Actinobacteria	CFGB10340	OFGB10340	FGB10340	GGB71804	GGB71804_SGB98790	1389821	557	2553	56.19520656	3.53200883	0.700288023	
AlvarezOrdonezA_xxxx__C05-18__bin.5	AlvarezOrdonezA_xxxx	C05-18	SGB96940	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_SGB96940	2211763	59	94593	99.33774834	0.022075055	0.369229886	
AlvarezOrdonezA_xxxx__C05-18__bin.6	AlvarezOrdonezA_xxxx	C05-18	SGB16007	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus_nishinomiyaensis	1924136	667	3029	62.65122265	0.455598456	0.689101498	
AlvarezOrdonezA_xxxx__C05-18__bin.8	AlvarezOrdonezA_xxxx	C05-18	SGB69234	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB69234	3990845	416	14957	91.54208195	2.209302326	0.626608149	
AlvarezOrdonezA_xxxx__C05-18__bin.9	AlvarezOrdonezA_xxxx	C05-18	SGB16669	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria_salsicia	2588702	537	6147	86.95175439	4.714912281	0.709144969	
AlvarezOrdonezA_xxxx__C05-19__bin.10	AlvarezOrdonezA_xxxx	C05-19	SGB7926	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1877107	373	6516	80.93517961	4.525386313	0.360890988	
AlvarezOrdonezA_xxxx__C05-19__bin.11	AlvarezOrdonezA_xxxx	C05-19	SGB10238	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Ewingella	Ewingella_americana	2214409	77	43010	50.60505266	0.054644809	0.547147794	
AlvarezOrdonezA_xxxx__C06-16__bin.1	AlvarezOrdonezA_xxxx	C06-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2167013	355	8206	89.21315274	1.104972376	0.367864891	
AlvarezOrdonezA_xxxx__C06-16__bin.9	AlvarezOrdonezA_xxxx	C06-16	SGB92578	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_urativorans	2068878	510	4603	58.62068966	0	0.430933578	
AlvarezOrdonezA_xxxx__C06-17__bin.2	AlvarezOrdonezA_xxxx	C06-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1647730	427	4181	81.90607735	0	0.376315294	
AlvarezOrdonezA_xxxx__C06-17__bin.4	AlvarezOrdonezA_xxxx	C06-17	SGB92578	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_urativorans	2619027	619	4728	87.08705729	2.5503663	0.42712389	
AlvarezOrdonezA_xxxx__C06-17__bin.5	AlvarezOrdonezA_xxxx	C06-17	SGB12105	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_paraversuta	3757244	299	18064	93.39914118	1.359735427	0.587846571	
AlvarezOrdonezA_xxxx__C06-18__bin.11	AlvarezOrdonezA_xxxx	C06-18	SGB10459	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	1758769	418	4694	55.17241379	0	0.432595184	
AlvarezOrdonezA_xxxx__C06-18__bin.14	AlvarezOrdonezA_xxxx	C06-18	SGB98502	Family	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	GGB71697	GGB71697_SGB98502	3473313	573	8326	88.08468036	1.862166885	0.635756697	
AlvarezOrdonezA_xxxx__C06-18__bin.5	AlvarezOrdonezA_xxxx	C06-18	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1813844	375	5604	83.19521179	1.197053407	0.365399119	
