MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MotaGutierrezJ_2021__SRR11602141__bin.11	MotaGutierrezJ_2021	SRR11602141	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8789088.0	1389.0	8380.0	73.6	0.2717391304	0.35
MotaGutierrezJ_2021__SRR11602142__bin.11	MotaGutierrezJ_2021	SRR11602142	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11175132.0	318.0	57291.0	98.1	2.140672783	0.38
MotaGutierrezJ_2021__SRR11602142__bin.21	MotaGutierrezJ_2021	SRR11602142	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8789316.0	847.0	16391.0	76.6	0.1305483029	0.35
MotaGutierrezJ_2021__SRR11602143__bin.10	MotaGutierrezJ_2021	SRR11602143	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8036444.0	1065.0	11002.0	71.6	0.2793296089	0.35
MotaGutierrezJ_2021__SRR11602144__bin.2	MotaGutierrezJ_2021	SRR11602144	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8600644.0	1271.0	9791.0	72.7	0.2751031637	0.35
MotaGutierrezJ_2021__SRR11602147__bin.3	MotaGutierrezJ_2021	SRR11602147	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8584050.0	1378.0	8295.0	72.6	0.1377410468	0.35
MotaGutierrezJ_2021__SRR11602148__bin.29	MotaGutierrezJ_2021	SRR11602148	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8864283.0	975.0	14252.0	76.3	0.131061599	0.35
MotaGutierrezJ_2021__SRR11602148__bin.35	MotaGutierrezJ_2021	SRR11602148	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11720523.0	950.0	18766.0	95.4	1.78197065	0.38
MotaGutierrezJ_2021__SRR11602149__bin.8	MotaGutierrezJ_2021	SRR11602149	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	7703853.0	2021.0	4413.0	57.5	0.0	0.35
MotaGutierrezJ_2021__SRR11602150__bin.11	MotaGutierrezJ_2021	SRR11602150	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11285809.0	311.0	54772.0	99.2	2.116935484	0.38
MotaGutierrezJ_2021__SRR11602150__bin.31	MotaGutierrezJ_2021	SRR11602150	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8661857.0	779.0	18520.0	76.8	0.1302083333	0.35
MotaGutierrezJ_2021__SRR11602151__bin.25	MotaGutierrezJ_2021	SRR11602151	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8324819.0	1084.0	11659.0	71.8	0.278551532	0.35
MotaGutierrezJ_2021__SRR11602152__bin.11	MotaGutierrezJ_2021	SRR11602152	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8402857.0	913.0	13793.0	72.5	0.275862069	0.35
MotaGutierrezJ_2021__SRR11602152__bin.35	MotaGutierrezJ_2021	SRR11602152	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10308371.0	2032.0	6255.0	78.4	1.658163265	0.38
MotaGutierrezJ_2021__SRR11602155__bin.27	MotaGutierrezJ_2021	SRR11602155	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8795297.0	1550.0	7532.0	71.8	0.139275766	0.35
