MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SulaimanJ_2014__SRS386960__bin.1	SulaimanJ_2014	SRS386960	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1121771	382	3067	51.68794651	0.81799591	0.449920706
SulaimanJ_2014__SRS398261__bin.3	SulaimanJ_2014	SRS398261	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1877789	166	19411	95.60327198	0.858895706	0.450165061
SulaimanJ_2014__SRS398265__bin.7	SulaimanJ_2014	SRS398265	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1863412	147	27779	94.1206544	0.920245399	0.449635937
SulaimanJ_2014__SRS398266__bin.8	SulaimanJ_2014	SRS398266	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1895968	130	25048	95.19427403	0.988411725	0.450648956
SulaimanJ_2014__SRS398267__bin.8	SulaimanJ_2014	SRS398267	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1877727	126	27735	93.35378323	1.226993865	0.449668669
SulaimanJ_2014__SRS398268__bin.7	SulaimanJ_2014	SRS398268	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1811866	97	45558	85.53169734	0.613496933	0.448975255
SulaimanJ_2014__SRS398269__bin.1	SulaimanJ_2014	SRS398269	SGB7115	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	2091701	86	42192	97.85276074	1.533742331	0.450016518
SulaimanJ_2014__SRS398266__bin.1	SulaimanJ_2014	SRS398266	SGB10113	kSGB	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_quasivariicola	4658317	860	7112	93.13642584	4.93174732	0.584223873
SulaimanJ_2014__SRS398265__bin.2	SulaimanJ_2014	SRS398265	SGB7968	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	1728592	566	3187	70.64476607	1.761006289	0.389017767
SulaimanJ_2014__SRS398266__bin.6	SulaimanJ_2014	SRS398266	SGB7968	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2837320	323	14807	99.11949686	3.962264151	0.382056307
SulaimanJ_2014__SRS398267__bin.9	SulaimanJ_2014	SRS398267	SGB7968	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2604189	267	18461	97.83018868	2.21711946	0.382047156
SulaimanJ_2014__SRS398269__bin.5	SulaimanJ_2014	SRS398269	SGB7968	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	1677139	589	2943	61.74413556	0.55705301	0.381931969
SulaimanJ_2014__SRS398261__bin.6	SulaimanJ_2014	SRS398261	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3108900	359	13112	53.9184953	0.862068966	0.468611406
SulaimanJ_2014__SRS398265__bin.4	SulaimanJ_2014	SRS398265	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3567959	352	13870	95.09849532	1.759255042	0.468192039
SulaimanJ_2014__SRS398266__bin.3	SulaimanJ_2014	SRS398266	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3915047	357	17294	98.10317437	1.463618776	0.463561996
SulaimanJ_2014__SRS398267__bin.4	SulaimanJ_2014	SRS398267	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3664239	318	17338	96.87398337	2.154971397	0.46680716
SulaimanJ_2014__SRS398268__bin.5	SulaimanJ_2014	SRS398268	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3861666	385	15830	96.60151032	2.316383764	0.463774961
SulaimanJ_2014__SRS398269__bin.3	SulaimanJ_2014	SRS398269	SGB7785	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3685336	312	17425	97.90149906	0.785561687	0.466771008
