MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
ShangpliangH_2023_b__SRR22851057__bin.11	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.0257701109523809	SGB92972	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2561095	20	187481	100.0	0.1	0.54
ShangpliangH_2023_b__SRR22851057__bin.13	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.0408249979797979	SGB7202	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	1419934	160	12081	52.09	2.19	0.45
ShangpliangH_2023_b__SRR22851057__bin.14	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.03507070009009	SGB7985	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1102906	64	26104	52.27	1.13	0.35
ShangpliangH_2023_b__SRR22851057__bin.2	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.0198248	SGB7170	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_stilesii	1580251	248	7972	83.4	2.72	0.38
ShangpliangH_2023_b__SRR22851057__bin.4	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.0188366602197802	SGB7980	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_petauri	1601920	37	64552	83.93	0.29	0.38
ShangpliangH_2023_b__SRR22851057__bin.6	ShangpliangH_2023_b	SRR22851057	SGB_assigned	0.0326841	SGB7228	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lapidilactobacillus	Lapidilactobacillus_dextrinicus	1263704	206	7151	82.92	2.74	0.38
ShangpliangH_2023_b__SRR22851058__bin.16	ShangpliangH_2023_b	SRR22851058	SGB_assigned	0.0314062	SGB7228	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lapidilactobacillus	Lapidilactobacillus_dextrinicus	1350976	235	6667	79.53	1.36	0.38
ShangpliangH_2023_b__SRR22851058__bin.26	ShangpliangH_2023_b	SRR22851058	SGB_assigned	0.0164215329670329	SGB7980	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_petauri	1807075	73	40856	93.41	1.22	0.38
ShangpliangH_2023_b__SRR22851058__bin.4	ShangpliangH_2023_b	SRR22851058	SGB_assigned	0.0377461312499999	SGB1161	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_japonicus	1932310	244	9969	67.56	2.74	0.56
ShangpliangH_2023_b__SRR22851058__bin.8	ShangpliangH_2023_b	SRR22851058	SGB_assigned	0.0315242366666666	SGB7985	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1135525	48	36032	54.65	0.59	0.35
