MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
FalardeauJ_2023__SRR20811131__bin.11	FalardeauJ_2023	SRR20811131	assigned	SGB16639	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	3681067.0	654.0	7087.0	85.68	2.13	0.63
FalardeauJ_2023__SRR20811131__bin.13	FalardeauJ_2023	SRR20811131	assigned	SGB11845	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_citrativorans	2025604.0	29.0	123285.0	56.96	0.07	0.54
FalardeauJ_2023__SRR20811131__bin.3	FalardeauJ_2023	SRR20811131	assigned	SGB34904	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	2586162.0	398.0	8682.0	93.14	1.7	0.69
FalardeauJ_2023__SRR20811131__bin.4	FalardeauJ_2023	SRR20811131	assigned	SGB7876	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus_psychrotolerans	2342815.0	220.0	19073.0	88.44	0.82	0.35
FalardeauJ_2023__SRR20811131__bin.5	FalardeauJ_2023	SRR20811131	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1957050.0	30.0	187697.0	83.45	0.29	0.35
FalardeauJ_2023__SRR20811131__bin.8	FalardeauJ_2023	SRR20811131	assigned	SGB13904	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_nigrifaciens	3537083.0	220.0	26322.0	92.69	0.17	0.4
FalardeauJ_2023__SRR20811132__bin.1	FalardeauJ_2023	SRR20811132	assigned	SGB7876	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus_psychrotolerans	2639771.0	401.0	11145.0	92.58	1.84	0.35
FalardeauJ_2023__SRR20811132__bin.11	FalardeauJ_2023	SRR20811132	assigned	SGB34904	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	1668966.0	585.0	2965.0	61.83	0.15	0.69
FalardeauJ_2023__SRR20811132__bin.15	FalardeauJ_2023	SRR20811132	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1795745.0	40.0	120580.0	77.94	0.58	0.35
FalardeauJ_2023__SRR20811132__bin.2	FalardeauJ_2023	SRR20811132	assigned	SGB13904	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_nigrifaciens	3476399.0	231.0	24474.0	91.13	0.41	0.4
FalardeauJ_2023__SRR20811132__bin.7	FalardeauJ_2023	SRR20811132	assigned	SGB11845	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_citrativorans	2692033.0	36.0	108066.0	74.38	0.11	0.54
FalardeauJ_2023__SRR20811132__bin.8	FalardeauJ_2023	SRR20811132	assigned	SGB69382	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_sp_FME13	2559472.0	180.0	19443.0	82.72	0.29	0.42
FalardeauJ_2023__SRR20811133__bin.1	FalardeauJ_2023	SRR20811133	assigned	SGB7843	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2270213.0	446.0	6316.0	86.02	0.39	0.33
FalardeauJ_2023__SRR20811133__bin.12	FalardeauJ_2023	SRR20811133	assigned	SGB7517	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2517933.0	84.0	49411.0	99.88	0.29	0.36
