dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
QuT_2024	QuT_2024__SRR25934526__bin.5	SRR25934526	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	914243.0	23.0	57117.0	63.29	0.0	0.51
QuT_2024	QuT_2024__SRR25934521__bin.3	SRR25934521	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	978580.0	15.0	121896.0	63.92	0.02	0.51
QuT_2024	QuT_2024__SRR25934530__bin.3	SRR25934530	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1257220.0	31.0	64453.0	76.25	0.22	0.5
QuT_2024	QuT_2024__SRR25934535__bin.4	SRR25934535	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	885970.0	16.0	457576.0	55.48	0.01	0.5
QuT_2024	QuT_2024__SRR25934537__bin.2	SRR25934537	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1165901.0	334.0	3792.0	65.91	2.29	0.51
QuT_2024	QuT_2024__SRR25934541__bin.2	SRR25934541	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1333741.0	48.0	49340.0	78.54	0.12	0.51
QuT_2024	QuT_2024__SRR25934532__bin.3	SRR25934532	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1419904.0	233.0	7175.0	82.39	1.06	0.51
QuT_2024	QuT_2024__SRR25934528__bin.1	SRR25934528	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1056854.0	27.0	69370.0	60.17	0.1	0.5
QuT_2024	QuT_2024__SRR25934527__bin.3	SRR25934527	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1591796.0	163.0	14428.0	89.8	1.52	0.5
QuT_2024	QuT_2024__SRR25934529__bin.5	SRR25934529	assigned	SGB7044	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acidophilus	1728246.0	315.0	7475.0	83.43	3.83	0.34
