MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
ZhaoCC_2020__SRS5803191__bin.24	ZhaoCC_2020	SRS5803191	assigned	SGB94409	ufSGB	Other	Bacteria	Bacillota	CFGB60657	OFGB60657	FGB60657	GGB70065	GGB70065_SGB94409	863043.0	98.0	11317.0	50.86206897	0.0	0.315728185
ZhaoCC_2020__SRS5803191__bin.31	ZhaoCC_2020	SRS5803191	assigned	SGB95373	ufSGB	Other	Bacteria	Bacillota	CFGB59556	OFGB59556	FGB59556	GGB70914	GGB70914_SGB95373	840049.0	8.0	462384.0	62.06896552	0.0	0.399458841
ZhaoCC_2020__SRS5803192__bin.11	ZhaoCC_2020	SRS5803192	assigned	SGB94749	ufSGB	Other	Bacteria	Bacillota	CFGB4415	OFGB4415	FGB4415	GGB70329	GGB70329_SGB94749	1188201.0	83.0	26225.0	78.9044289	0.0	0.297514478
ZhaoCC_2020__SRS5803192__bin.13	ZhaoCC_2020	SRS5803192	assigned	SGB94408	ufSGB	Other	Bacteria	Bacillota	CFGB60657	OFGB60657	FGB60657	GGB70065	GGB70065_SGB94408	2070978.0	269.0	11980.0	66.55629139	2.869757174	0.323467463
ZhaoCC_2020__SRS5803192__bin.14	ZhaoCC_2020	SRS5803192	assigned	SGB94713	ufSGB	Family	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	GGB70296	GGB70296_SGB94713	1168323.0	91.0	17865.0	69.18238994	1.493710692	0.37643614
ZhaoCC_2020__SRS5803192__bin.16	ZhaoCC_2020	SRS5803192	assigned	SGB94754	ufSGB	Other	Bacteria	Bacillota	CFGB4415	OFGB4415	FGB4415	GGB70333	GGB70333_SGB94754	2919929.0	502.0	7686.0	74.13793103	3.448275862	0.313824754
ZhaoCC_2020__SRS5803192__bin.17	ZhaoCC_2020	SRS5803192	assigned	SGB94751	ufSGB	Other	Bacteria	Bacillota	CFGB4415	OFGB4415	FGB4415	GGB70330	GGB70330_SGB94751	1563115.0	187.0	12125.0	93.24009324	0.371503497	0.292160845
ZhaoCC_2020__SRS5803192__bin.21	ZhaoCC_2020	SRS5803192	assigned	SGB94409	ufSGB	Other	Bacteria	Bacillota	CFGB60657	OFGB60657	FGB60657	GGB70065	GGB70065_SGB94409	1805188.0	228.0	11862.0	75.57471264	0.0	0.319109145
ZhaoCC_2020__SRS5803192__bin.31	ZhaoCC_2020	SRS5803192	assigned	SGB95374	ufSGB	Other	Bacteria	Bacillota	CFGB59556	OFGB59556	FGB59556	GGB70915	GGB70915_SGB95374	2028811.0	269.0	9663.0	77.31988762	2.939995986	0.382244576
ZhaoCC_2020__SRS5803193__bin.1	ZhaoCC_2020	SRS5803193	assigned	SGB94408	ufSGB	Other	Bacteria	Bacillota	CFGB60657	OFGB60657	FGB60657	GGB70065	GGB70065_SGB94408	1514091.0	240.0	8454.0	54.31034483	0.0	0.32069935
