MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
YangC_2021__SRR13259372__bin.10	YangC_2021	SRR13259372	SGB_assigned	0.0147538327570093	SGB7848	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_saprophyticus	1843841	38	79183	73.54	0.89	0.33
YangC_2021__SRR13259372__bin.15	YangC_2021	SRR13259372	SGB_assigned	0.0175114	SGB98769	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_SGB98769	3421183	120	56602	98.68	0.81	0.65
YangC_2021__SRR13259372__bin.21	YangC_2021	SRR13259372	SGB_assigned	0.034982618275862	SGB7842	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_succinus	2843291	348	13078	82.88	3.22	0.33
YangC_2021__SRR13259372__bin.22	YangC_2021	SRR13259372	SGB_assigned	0.0232668448863636	SGB7847	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus	1556811	24	123498	65.01	0.01	0.32
YangC_2021__SRR13259372__bin.32	YangC_2021	SRR13259372	SGB_assigned	0.0211435604046242	SGB16639	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	3673748	77	76307	99.95	0.06	0.63
YangC_2021__SRR13259372__bin.33	YangC_2021	SRR13259372	SGB_assigned	0.0143715285714285	SGB69235	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_SGB69235	2851952	585	6013	78.58	1.24	0.66
YangC_2021__SRR13259372__bin.6	YangC_2021	SRR13259372	SGB_assigned	0.021386578	SGB69231	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_tyrofermentans	3838978	624	8888	90.58	4.98	0.7
YangC_2021__SRR13259373__bin.4	YangC_2021	SRR13259373	SGB_assigned	0.0156322262356321	SGB7126	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1656942	55	68299	99.66	0.14	0.38
YangC_2021__SRR13259373__bin.6	YangC_2021	SRR13259373	SGB_assigned	0.0144885345675675	SGB7985	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2163475	109	33330	99.98	0.15	0.35
YangC_2021__SRR13259373__bin.8	YangC_2021	SRR13259373	SGB_assigned	0.0163866987412587	SGB7142	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2372348	219	15459	87.21	0.75	0.47
YangC_2021__SRR13259374__bin.1	YangC_2021	SRR13259374	SGB_assigned	0.04214132	SGB7143	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_casei	2735727	49	106739	88.8	0.08	0.48
YangC_2021__SRR13259374__bin.2	YangC_2021	SRR13259374	SGB_assigned	0.0247227233091787	SGB7020	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1273410	66	24552	79.43	0.15	0.51
YangC_2021__SRR13259374__bin.4	YangC_2021	SRR13259374	SGB_assigned	0.0197272146894409	SGB7048	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1654172	155	15078	89.91	2.12	0.36
YangC_2021__SRR13259374__bin.5	YangC_2021	SRR13259374	SGB_assigned	0.0275836688700564	SGB7144	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	2514459	108	43075	91.31	0.44	0.47
YangC_2021__SRR13259375__bin.17	YangC_2021	SRR13259375	SGB_assigned	0.0206436904624277	SGB16639	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	3756682	136	44292	99.98	0.15	0.63
YangC_2021__SRR13259375__bin.20	YangC_2021	SRR13259375	SGB_assigned	0.0192895224684684	SGB7985	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2094502	123	28383	85.16	2.89	0.35
YangC_2021__SRR13259375__bin.22	YangC_2021	SRR13259375	SGB_assigned	0.0168337198055555	SGB8002	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1459153	75	21678	81.62	0.13	0.39
YangC_2021__SRR13259375__bin.26	YangC_2021	SRR13259375	SGB_assigned	0.0267110500826446	SGB7984	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1868769	144	16562	82.03	3.67	0.35
YangC_2021__SRR13259375__bin.8	YangC_2021	SRR13259375	SGB_assigned	0.0260899607344632	SGB7144	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	2594456	124	28407	91.65	1.62	0.47
YangC_2021__SRR13259376__bin.11	YangC_2021	SRR13259376	SGB_assigned	0.0204869536111111	SGB8002	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1294290	99	18236	78.79	0.2	0.4
YangC_2021__SRR13259376__bin.16	YangC_2021	SRR13259376	SGB_assigned	0.0140128557142857	SGB34811	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria_sp_257	2743868	439	7907	83.46	3.74	0.61
YangC_2021__SRR13259376__bin.19	YangC_2021	SRR13259376	SGB_assigned	0.0163632892307692	SGB7214	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parafarraginis	2337517	68	56223	83.64	3.1	0.46
YangC_2021__SRR13259376__bin.2	YangC_2021	SRR13259376	SGB_assigned	0.0164839794585585	SGB7985	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2460267	36	192057	100.0	1.27	0.35
YangC_2021__SRR13259376__bin.21	YangC_2021	SRR13259376	SGB_assigned	0.0187022961818181	SGB7142	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2226583	152	23240	83.79	0.78	0.47
YangC_2021__SRR13259376__bin.8	YangC_2021	SRR13259376	SGB_assigned	0.022222252173913	SGB16742	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_rhombi	3193016	238	21221	97.76	0.22	0.65
YangC_2021__SRR13259377__bin.10	YangC_2021	SRR13259377	SGB_assigned	0.0139923936538461	SGB7217	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	2311121	45	73871	99.67	0.56	0.44
YangC_2021__SRR13259377__bin.12	YangC_2021	SRR13259377	SGB_assigned	0.0170839674236111	SGB8002	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1683333	49	57393	99.1	0.39	0.39
YangC_2021__SRR13259377__bin.16	YangC_2021	SRR13259377	SGB_assigned	0.0320828033333333	SGB7143	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_casei	2230006	390	6456	76.76	3.6	0.48
YangC_2021__SRR13259377__bin.3	YangC_2021	SRR13259377	SGB_assigned	0.0222768998136645	SGB7048	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1654106	157	15250	85.33	3.18	0.37
YangC_2021__SRR13259377__bin.4	YangC_2021	SRR13259377	SGB_assigned	0.0163538260869565	SGB96919	Genus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_SGB96919	2750721	65	92694	100.0	0.07	0.33
YangC_2021__SRR13259377__bin.9	YangC_2021	SRR13259377	SGB_assigned	0.022728186352657	SGB7020	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1455099	90	22951	83.01	0.26	0.51
YangC_2021__SRR13259378__bin.10	YangC_2021	SRR13259378	SGB_assigned	0.01548624	SGB96906	Genus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus	Salinicoccus_SGB96906	2248326	327	9477	87.13	1.23	0.43
