MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LimaC_2020__SRR9640343__bin.10	LimaC_2020	SRR9640343	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	2444045.0	549.0	5196.0	83.76	1.59	0.61
LimaC_2020__SRR9640343__bin.17	LimaC_2020	SRR9640343	assigned	SGB213828	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_SGB213828	4160925.0	105.0	66155.0	94.1	2.16	0.56
LimaC_2020__SRR9640343__bin.22	LimaC_2020	SRR9640343	assigned	SGB214082	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Frateuria	Frateuria_SGB214082	3012308.0	299.0	17900.0	92.21	2.78	0.67
LimaC_2020__SRR9640343__bin.5	LimaC_2020	SRR9640343	assigned	SGB10293	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_citrea	2347878.0	199.0	18599.0	54.83	2.34	0.5
LimaC_2020__SRR9640343__bin.8	LimaC_2020	SRR9640343	assigned	SGB209990	ufSGB	Family	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	GGB143815	GGB143815_SGB209990	3111816.0	893.0	3998.0	62.97	3.76	0.54
LimaC_2020__SRR9640344__bin.11	LimaC_2020	SRR9640344	assigned	SGB1205	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	3498103.0	572.0	8453.0	91.21	2.85	0.55
LimaC_2020__SRR9640344__bin.12	LimaC_2020	SRR9640344	assigned	SGB10293	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_citrea	3276490.0	918.0	3986.0	68.25	3.28	0.49
LimaC_2020__SRR9640344__bin.15	LimaC_2020	SRR9640344	assigned	SGB24151	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_maltaceti	2279092.0	76.0	52826.0	81.04	1.2	0.65
LimaC_2020__SRR9640344__bin.1	LimaC_2020	SRR9640344	assigned	SGB10181	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_cancerogenus	2278320.0	877.0	2661.0	56.88	3.79	0.54
LimaC_2020__SRR9640344__bin.20	LimaC_2020	SRR9640344	assigned	SGB89347	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_nasdae	2082638.0	741.0	2994.0	61.63	2.76	0.66
LimaC_2020__SRR9640344__bin.8	LimaC_2020	SRR9640344	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2076860.0	307.0	9657.0	83.01	1.07	0.58
LimaC_2020__SRR9640345__bin.11	LimaC_2020	SRR9640345	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2293851.0	118.0	31071.0	99.03	3.96	0.58
LimaC_2020__SRR9640345__bin.1	LimaC_2020	SRR9640345	assigned	SGB24151	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_maltaceti	1428104.0	35.0	53694.0	50.8	0.68	0.66
LimaC_2020__SRR9640345__bin.5	LimaC_2020	SRR9640345	assigned	SGB1205	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	1904821.0	382.0	5785.0	66.98	2.12	0.58
LimaC_2020__SRR9640345__bin.6	LimaC_2020	SRR9640345	assigned	SGB24160	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_melaceti	2337776.0	142.0	32367.0	69.63	2.4	0.64
LimaC_2020__SRR9640346__bin.18	LimaC_2020	SRR9640346	assigned	SGB30486	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_papayae	2401802.0	481.0	6441.0	89.92	1.68	0.6
LimaC_2020__SRR9640346__bin.19	LimaC_2020	SRR9640346	assigned	SGB1186	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_thailandicus	1480957.0	451.0	3517.0	53.23	0.38	0.51
LimaC_2020__SRR9640346__bin.23	LimaC_2020	SRR9640346	assigned	SGB10181	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_cancerogenus	3051945.0	924.0	3615.0	58.57	4.14	0.54
LimaC_2020__SRR9640346__bin.27	LimaC_2020	SRR9640346	assigned	SGB92519	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_sp_JGM118	2952366.0	471.0	8849.0	72.2	3.42	0.53
LimaC_2020__SRR9640346__bin.4	LimaC_2020	SRR9640346	assigned	SGB10293	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_citrea	4226746.0	268.0	27245.0	87.89	4.1	0.5
LimaC_2020__SRR9640347__bin.2	LimaC_2020	SRR9640347	assigned	SGB1196	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	1158322.0	230.0	6314.0	52.12	1.48	0.55
LimaC_2020__SRR9640347__bin.4	LimaC_2020	SRR9640347	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1734889.0	62.0	41389.0	90.97	0.22	0.53
LimaC_2020__SRR9640347__bin.5	LimaC_2020	SRR9640347	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2216385.0	314.0	9411.0	90.03	4.49	0.58
LimaC_2020__SRR9640348__bin.11	LimaC_2020	SRR9640348	assigned	SGB1205	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	2979888.0	401.0	9805.0	87.29	1.25	0.56
LimaC_2020__SRR9640348__bin.16	LimaC_2020	SRR9640348	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2105933.0	91.0	35095.0	92.36	1.59	0.58
LimaC_2020__SRR9640348__bin.17	LimaC_2020	SRR9640348	assigned	SGB7065	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_vini	1063933.0	352.0	3258.0	51.76	0.0	0.38
LimaC_2020__SRR9640348__bin.2	LimaC_2020	SRR9640348	assigned	SGB24151	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_maltaceti	2735070.0	97.0	58171.0	89.54	2.03	0.65
LimaC_2020__SRR9640348__bin.8	LimaC_2020	SRR9640348	assigned	SGB24160	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_melaceti	2001322.0	661.0	3192.0	57.95	1.47	0.64
LimaC_2020__SRR9640350__bin.11	LimaC_2020	SRR9640350	assigned	SGB122298	uSGB	Family	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	GGB71228	GGB71228_SGB122298	1459908.0	63.0	41640.0	84.41	1.04	0.4
LimaC_2020__SRR9640350__bin.12	LimaC_2020	SRR9640350	assigned	SGB7734	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia_ginsengihumi	3627935.0	281.0	23815.0	99.8	0.44	0.36
LimaC_2020__SRR9640350__bin.13	LimaC_2020	SRR9640350	assigned	SGB7168	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1511797.0	281.0	6539.0	82.76	3.16	0.43
LimaC_2020__SRR9640350__bin.18	LimaC_2020	SRR9640350	assigned	SGB7065	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_vini	2051006.0	106.0	49414.0	99.76	0.23	0.38
LimaC_2020__SRR9640350__bin.3	LimaC_2020	SRR9640350	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2242473.0	320.0	10013.0	88.92	3.44	0.57
LimaC_2020__SRR9640350__bin.6	LimaC_2020	SRR9640350	assigned	SGB1205	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	2155504.0	614.0	3916.0	67.68	4.03	0.57
LimaC_2020__SRR9640351__bin.10	LimaC_2020	SRR9640351	assigned	SGB24160	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_melaceti	2673203.0	216.0	18394.0	78.02	2.55	0.64
LimaC_2020__SRR9640351__bin.20	LimaC_2020	SRR9640351	assigned	SGB89347	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_nasdae	3364355.0	331.0	13498.0	94.1	0.17	0.66
LimaC_2020__SRR9640351__bin.22	LimaC_2020	SRR9640351	assigned	SGB24151	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_maltaceti	2724984.0	116.0	42488.0	86.68	1.55	0.65
