MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
YouL_2022__SRR13308520__bin.11	YouL_2022	SRR13308520	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1430388.0	57.0	46295.0	71.99	1.16	0.39
YouL_2022__SRR13308520__bin.13	YouL_2022	SRR13308520	assigned	SGB7221	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_kefiri	1678240.0	64.0	47242.0	65.75	0.27	0.42
YouL_2022__SRR13308520__bin.14	YouL_2022	SRR13308520	assigned	SGB7090	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_pontis	1460791.0	29.0	87940.0	84.6	0.04	0.54
YouL_2022__SRR13308520__bin.15	YouL_2022	SRR13308520	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2494837.0	280.0	16144.0	99.99	0.61	0.35
YouL_2022__SRR13308520__bin.20	YouL_2022	SRR13308520	assigned	SGB92969	ufSGB	Genus	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92969	2001216.0	399.0	6028.0	84.24	4.79	0.53
YouL_2022__SRR13308520__bin.3	YouL_2022	SRR13308520	assigned	SGB7980	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_petauri	1094499.0	28.0	192422.0	62.09	0.0	0.38
YouL_2022__SRR13308520__bin.4	YouL_2022	SRR13308520	assigned	SGB7869	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcoides	Macrococcoides_caseolyticum	1928143.0	61.0	56763.0	98.85	0.05	0.37
YouL_2022__SRR13308520__bin.7	YouL_2022	SRR13308520	assigned	SGB7222	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parakefiri	1993227.0	280.0	9881.0	84.52	0.26	0.44
YouL_2022__SRR13308521__bin.1	YouL_2022	SRR13308521	assigned	SGB38802	uSGB	Genus	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_SGB38802	2780323.0	692.0	4582.0	76.61	4.97	0.58
YouL_2022__SRR13308521__bin.12	YouL_2022	SRR13308521	assigned	SGB7858	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_hominis	2094197.0	621.0	3727.0	73.69	4.36	0.31
YouL_2022__SRR13308521__bin.17	YouL_2022	SRR13308521	assigned	SGB10398	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii	2620349.0	431.0	8474.0	81.39	1.63	0.42
YouL_2022__SRR13308521__bin.25	YouL_2022	SRR13308521	assigned	SGB7221	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_kefiri	2153995.0	89.0	42749.0	93.92	0.11	0.42
YouL_2022__SRR13308521__bin.3	YouL_2022	SRR13308521	assigned	SGB23955	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_sp_P100	1571910.0	336.0	5630.0	68.51	1.27	0.57
YouL_2022__SRR13308521__bin.31	YouL_2022	SRR13308521	assigned	SGB7980	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_petauri	1527278.0	25.0	192415.0	78.37	0.13	0.38
YouL_2022__SRR13308521__bin.34	YouL_2022	SRR13308521	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2479833.0	106.0	61695.0	99.9	1.95	0.35
YouL_2022__SRR13308521__bin.39	YouL_2022	SRR13308521	assigned	SGB7222	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parakefiri	1442479.0	174.0	11316.0	54.72	0.46	0.44
