dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MoonSH_2021	MoonSH_2021__SRR14156923__bin.1	SRR14156923	assigned	SGB2564	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_indoltheticum	3580690.0	797.0	5525.0	78.99	4.07	0.34
MoonSH_2021	MoonSH_2021__SRR14155281__bin.4	SRR14155281	assigned	SGB7392	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_nuruki	4429912.0	479.0	14290.0	82.3	0.16	0.39
MoonSH_2021	MoonSH_2021__SRR14155281__bin.9	SRR14155281	assigned	SGB7989	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_raffinolactis	2056798.0	13.0	225418.0	99.72	0.08	0.4
MoonSH_2021	MoonSH_2021__SRR14156940__bin.30	SRR14156940	assigned	SGB7989	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_raffinolactis	2062122.0	14.0	225419.0	99.72	0.08	0.4
MoonSH_2021	MoonSH_2021__SRR14155281__bin.8	SRR14155281	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4119151.0	252.0	23487.0	94.53	0.58	0.56
MoonSH_2021	MoonSH_2021__SRR14156940__bin.16	SRR14156940	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	2754058.0	105.0	40531.0	69.0	0.0	0.56
MoonSH_2021	MoonSH_2021__SRR14156940__bin.23	SRR14156940	assigned	SGB10396	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_albensis	1624995.0	95.0	24916.0	58.96	0.03	0.39
MoonSH_2021	MoonSH_2021__SRR14155281__bin.23	SRR14155281	assigned	SGB12083	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_viridiflava	4150004.0	314.0	20972.0	68.35	2.86	0.59
MoonSH_2021	MoonSH_2021__SRR14156923__bin.41	SRR14156923	assigned	SGB12099	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_endophytica	3714892.0	474.0	9660.0	78.37	1.97	0.56
MoonSH_2021	MoonSH_2021__SRR14156940__bin.46	SRR14156940	assigned	SGB12456	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas_maltophilia	4164009.0	209.0	30084.0	95.5	0.22	0.67
MoonSH_2021	MoonSH_2021__SRR14155281__bin.17	SRR14155281	assigned	SGB12848	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium_lividum	5962543.0	393.0	25240.0	94.17	4.26	0.63
MoonSH_2021	MoonSH_2021__SRR14155281__bin.29	SRR14155281	assigned	SGB12864	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella_zoogloeoides	3526426.0	945.0	4187.0	52.28	0.94	0.65
MoonSH_2021	MoonSH_2021__SRR14156923__bin.42	SRR14156923	assigned	SGB12864	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella_zoogloeoides	4028931.0	978.0	4604.0	61.72	4.32	0.64
MoonSH_2021	MoonSH_2021__SRR14156923__bin.5	SRR14156923	assigned	SGB16806	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Curtobacterium	Curtobacterium_flaccumfaciens	3285471.0	711.0	5676.0	82.98	2.5	0.71
MoonSH_2021	MoonSH_2021__SRR14156923__bin.50	SRR14156923	assigned	SGB16899	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_sp_BH_3_3_3	2478826.0	772.0	3546.0	70.12	4.94	0.71
MoonSH_2021	MoonSH_2021__SRR14156940__bin.19	SRR14156940	assigned	SGB32132	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Neorhizobium	Neorhizobium_huautlense	5544519.0	86.0	143087.0	100.0	0.32	0.6
MoonSH_2021	MoonSH_2021__SRR14156923__bin.43	SRR14156923	assigned	SGB50681	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera_aphidicola	643683.0	3.0	632801.0	99.95	0.03	0.24
MoonSH_2021	MoonSH_2021__SRR14155281__bin.22	SRR14155281	assigned	SGB50681	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera_aphidicola	425714.0	8.0	69088.0	65.42	0.0	0.25
MoonSH_2021	MoonSH_2021__SRR14155281__bin.30	SRR14155281	assigned	SGB78994	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_turcicum	1893757.0	640.0	3166.0	52.36	2.16	0.35
MoonSH_2021	MoonSH_2021__SRR14156923__bin.45	SRR14156923	assigned	SGB110307	kSGB	Species	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified	Oxalobacteraceae_bacterium_OTU3CAMAD1	4798746.0	1479.0	3632.0	65.08	4.57	0.65
MoonSH_2021	MoonSH_2021__SRR14155281__bin.1	SRR14155281	assigned	SGB140127	uSGB	Genus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_SGB140127	3371321.0	457.0	10902.0	81.86	4.56	0.34
MoonSH_2021	MoonSH_2021__SRR14156923__bin.26	SRR14156923	unassigned_prokaryote			Genus	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas		2701870.0	368.0	8769.0	79.16	2.31	0.54
MoonSH_2021	MoonSH_2021__SRR14156923__bin.39	SRR14156923	unassigned_prokaryote			Genus	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		5266500.0	126.0	66846.0	91.25	3.07	0.39
MoonSH_2021	MoonSH_2021__SRR14156940__bin.28	SRR14156940	unassigned_prokaryote			Genus	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella		7476110.0	193.0	61635.0	99.89	1.4	0.65
MoonSH_2021	MoonSH_2021__SRR14156940__bin.5	SRR14156940	unassigned_prokaryote			Others	Bacteria	Pseudomonadota						2157153.0	74.0	52241.0	50.41	2.49	0.27
