MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
YuY_2022__SRR16950696__bin.17	YuY_2022	SRR16950696	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1201199.0	24.0	88397.0	56.85	0.98	0.45
YuY_2022__SRR16950696__bin.19	YuY_2022	SRR16950696	assigned	SGB209928	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_malefermentans	1419564.0	87.0	27401.0	65.62	0.39	0.42
YuY_2022__SRR16950696__bin.22	YuY_2022	SRR16950696	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2429018.0	388.0	9102.0	99.06	2.53	0.35
YuY_2022__SRR16950696__bin.2	YuY_2022	SRR16950696	assigned	SGB7208	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_silagei	2536128.0	177.0	21661.0	91.52	2.97	0.45
YuY_2022__SRR16950696__bin.3	YuY_2022	SRR16950696	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2451950.0	236.0	17023.0	94.16	1.4	0.43
YuY_2022__SRR16950696__bin.5	YuY_2022	SRR16950696	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1789049.0	212.0	13659.0	84.52	4.44	0.42
YuY_2022__SRR16950696__bin.8	YuY_2022	SRR16950696	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2306246.0	43.0	83932.0	75.19	3.73	0.45
YuY_2022__SRR16950697__bin.11	YuY_2022	SRR16950697	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1298823.0	15.0	99591.0	56.71	0.45	0.45
YuY_2022__SRR16950697__bin.12	YuY_2022	SRR16950697	assigned	SGB7200	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_pentosus	1948278.0	166.0	19179.0	57.53	1.38	0.46
YuY_2022__SRR16950697__bin.15	YuY_2022	SRR16950697	assigned	SGB7248	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1797587.0	213.0	11794.0	85.53	4.18	0.41
YuY_2022__SRR16950697__bin.1	YuY_2022	SRR16950697	assigned	SGB209928	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_malefermentans	1151668.0	80.0	26404.0	50.79	1.17	0.43
YuY_2022__SRR16950697__bin.3	YuY_2022	SRR16950697	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	3169330.0	49.0	129758.0	100.0	2.43	0.45
YuY_2022__SRR16950697__bin.5	YuY_2022	SRR16950697	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2309772.0	221.0	15071.0	88.21	1.31	0.43
YuY_2022__SRR16950698__bin.18	YuY_2022	SRR16950698	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1208110.0	11.0	219877.0	53.13	1.12	0.46
YuY_2022__SRR16950698__bin.1	YuY_2022	SRR16950698	assigned	SGB7208	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_silagei	2235377.0	171.0	19789.0	84.89	2.0	0.45
